Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		22
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa	TRUE	11
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		37
Peptidase S8 and S53 domain-containing protein OS=Dictyostelium discoideum GN=V4-7 PE=4 SV=1	tr|Q54TD0|Q54TD0_DICDI	76 kDa		15
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		26
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa		15
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa	TRUE	14
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35 kDa		22
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191770 PE=4 SV=1	tr|Q54CA5|Q54CA5_DICDI	231 kDa	TRUE	29
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa	TRUE	33
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa	TRUE	24
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	68
Putative actin-28 OS=Dictyostelium discoideum GN=act28 PE=3 SV=1	sp|Q54HE7|ACT28_DICDI	39 kDa	TRUE	3
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	48
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		56
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39 kDa	TRUE	13
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		13
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa		15
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		6
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43 kDa		37
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22 kDa	TRUE	8
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa		8
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		7
WD repeat-containing protein 2 homolog OS=Dictyostelium discoideum GN=wdpA PE=2 SV=2	sp|P54686|WD42_DICDI	64 kDa		18
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57 kDa		34
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		8
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		27
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	34
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		10
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		27
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		15
Protein disulfide-isomerase 2 OS=Dictyostelium discoideum GN=pdi2 PE=3 SV=1	sp|Q54EN4|PDI2_DICDI	58 kDa		28
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		12
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa		11
60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI	24 kDa		5
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa		19
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		7
Putative uncharacterized protein dnajc13 OS=Dictyostelium discoideum GN=dnajc13 PE=4 SV=1	tr|Q54LZ3|Q54LZ3_DICDI	292 kDa	TRUE	16
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		14
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa	TRUE	8
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		13
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa		24
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa	TRUE	11
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		25
60S ribosomal protein L22 1 OS=Dictyostelium discoideum GN=rpl22 PE=3 SV=1	sp|Q54JE3|RL221_DICDI	13 kDa	TRUE	8
Probable caffeoyl-CoA O-methyltransferase 2 OS=Dictyostelium discoideum GN=omt6 PE=1 SV=1	sp|Q86IC8|CAMT2_DICDI	26 kDa	TRUE	10
Hisactophilin-1 OS=Dictyostelium discoideum GN=hatA PE=1 SV=3	sp|P13231|HATA_DICDI	13 kDa		3
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa		23
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		34
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa	TRUE	31
Tubulin alpha chain OS=Dictyostelium discoideum GN=tubA PE=1 SV=1	sp|P32255|TBA_DICDI	51 kDa	TRUE	18
Calreticulin OS=Dictyostelium discoideum GN=crtA PE=1 SV=3	sp|Q23858|CALR_DICDI	48 kDa		22
Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI	55 kDa		11
cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI (+1)	35 kDa	TRUE	19
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		16
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa		20
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa		53
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=1 SV=2	sp|P34113|RL3_DICDI	45 kDa		9
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa	TRUE	15
Adenosine kinase OS=Dictyostelium discoideum GN=adk PE=3 SV=2	sp|Q54MB5|ADK_DICDI	37 kDa		6
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI	118 kDa	TRUE	25
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	sp|Q34312|NDUS1_DICDI	80 kDa	TRUE	8
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268600 PE=1 SV=2	tr|Q55F82|Q55F82_DICDI	19 kDa		9
"60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1"	sp|Q54J97|CH60_DICDI	60 kDa	TRUE	29
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa		13
Ran-specific GTPase-activating protein homolog OS=Dictyostelium discoideum GN=ranbp1 PE=1 SV=1	sp|Q54KD9|RANG_DICDI	22 kDa		23
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		4
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	41
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43 kDa	TRUE	11
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	21
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa	TRUE	28
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		10
40S ribosomal protein S15a OS=Dictyostelium discoideum GN=rps15a PE=2 SV=3	sp|P46793|RS15A_DICDI	15 kDa		5
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa		11
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		13
Pyruvate kinase OS=Dictyostelium discoideum GN=pyk PE=3 SV=1	sp|Q54RF5|KPYK_DICDI	55 kDa	TRUE	16
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa	TRUE	5
"Aspartate aminotransferase, cytoplasmic OS=Dictyostelium discoideum GN=aatB PE=3 SV=1"	sp|Q54SF7|AATC_DICDI	49 kDa	TRUE	21
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		18
Uncharacterized protein DDB_G0279527 OS=Dictyostelium discoideum GN=DDB_G0279527 PE=1 SV=1	sp|Q54WN8|Y7952_DICDI	144 kDa		25
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44 kDa		19
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		1
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	22
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa		19
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa	TRUE	25
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		12
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	1
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa	TRUE	10
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	20
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32 kDa	TRUE	8
Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI	41 kDa		13
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa		8
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	37
Cofilin-1 OS=Dictyostelium discoideum GN=cofA PE=1 SV=1	sp|P54706|COF1_DICDI	15 kDa		11
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa		11
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		32
"Sulfide:quinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=sqrdl PE=3 SV=1"	sp|Q54DK1|SQRD_DICDI	50 kDa		12
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	sp|Q54E83|GSHB_DICDI	54 kDa		3
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa	TRUE	17
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI	18 kDa		20
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		7
"Probable saccharopine dehydrogenase [NADP+, L-glutamate-forming] OS=Dictyostelium discoideum GN=sdh PE=2 SV=1"	sp|Q54NG9|SCPDH_DICDI	53 kDa		14
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16 kDa		11
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa		11
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa		9
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		23
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa		18
Rho-related protein racE OS=Dictyostelium discoideum GN=racE PE=1 SV=1	sp|Q23862|RACE_DICDI	24 kDa	TRUE	14
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		15
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa	TRUE	18
Protein pkiA OS=Dictyostelium discoideum GN=pkiA PE=1 SV=2	sp|Q23921|PKIA_DICDI	14 kDa	TRUE	8
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa	TRUE	4
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa	TRUE	13
Probable polyketide synthase 45 OS=Dictyostelium discoideum GN=pks45 PE=3 SV=1	sp|Q54B49|PKS45_DICDI	350 kDa	TRUE	9
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	2
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa	TRUE	17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa	TRUE	10
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa	TRUE	13
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa		35
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa	TRUE	5
Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI	45 kDa		15
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		8
Adenylosuccinate synthetase OS=Dictyostelium discoideum GN=purA PE=1 SV=1	sp|P21900|PURA_DICDI	47 kDa		22
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI	61 kDa	TRUE	23
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1"	sp|Q869S7|SUCB2_DICDI	46 kDa		11
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa	TRUE	19
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa	TRUE	17
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa	TRUE	8
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		4
Coactosin OS=Dictyostelium discoideum GN=coaA PE=1 SV=1	sp|P34121|COAA_DICDI	16 kDa	TRUE	7
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		11
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		11
Guanine nucleotide-binding protein alpha-7 subunit OS=Dictyostelium discoideum GN=gpaG PE=2 SV=3	sp|P34045|GPA7_DICDI	44 kDa	TRUE	1
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		11
Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI	48 kDa	TRUE	11
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		11
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa	TRUE	23
Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI	31 kDa	TRUE	12
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		9
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa	TRUE	15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa	TRUE	17
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		10
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa		23
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		14
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		14
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa		19
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		12
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa	TRUE	9
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa	TRUE	22
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		26
Thimet-like oligopeptidase OS=Dictyostelium discoideum GN=DDB_G0292362 PE=3 SV=1	sp|Q54DD2|THOPL_DICDI	78 kDa		21
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa		11
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		21
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa	TRUE	16
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa	TRUE	14
Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI	25 kDa	TRUE	2
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa		12
60S ribosomal protein L24 OS=Dictyostelium discoideum GN=rpl24 PE=3 SV=1	sp|Q54VN6|RL24_DICDI	15 kDa	TRUE	9
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhB PE=3 SV=1"	sp|Q55CC2|DHSB_DICDI	32 kDa		10
Hisactophilin-2 OS=Dictyostelium discoideum GN=hatB PE=1 SV=2	sp|P42526|HATB_DICDI	14 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI	38 kDa	TRUE	15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188719 PE=4 SV=1	tr|Q54GL1|Q54GL1_DICDI	175 kDa		9
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa	TRUE	15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa		10
Circularly permutated Ras protein 2 OS=Dictyostelium discoideum GN=cpras2 PE=3 SV=1	sp|Q54BW4|CPAS2_DICDI	443 kDa	TRUE	2
"Tesmin/TSO1-like, CXC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0218306 PE=4 SV=1"	tr|Q54TZ5|Q54TZ5_DICDI	101 kDa		0
"Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1"	sp|Q1ZXF1|ECHM_DICDI	30 kDa	TRUE	6
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50 kDa		9
