Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa	TRUE	18
Uncharacterized protein DDB_G0288155 OS=Dictyostelium discoideum GN=DDB_G0288155 PE=1 SV=1	sp|Q54JC2|Y2881_DICDI	27 kDa		6
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63 kDa		1
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa	TRUE	24
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa	TRUE	5
Protein ybbN.	sp|P77395|YBBN_ECOLI	32 kDa	TRUE	2
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		2
Ras GTPase-activating-like protein gapA OS=Dictyostelium discoideum GN=gapA PE=1 SV=1	sp|O00899|GAPA_DICDI	99 kDa	TRUE	16
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		14
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa	TRUE	18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216167 PE=4 SV=1	rtr|Q54FZ7|Q54FZ7_DICDI	?	TRUE	17
Bifunctional aspartokinase/homoserine de	sp|P00562|AK2H_ECOLI	89 kDa		23
Dihydrodipicolinate reductase (EC 1.3.1.	sp|P04036|DAPB_ECOLI	29 kDa		24
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa	TRUE	5
Putative vacuolar protein sorting-associated protein 13A OS=Dictyostelium discoideum GN=vps13A PE=2 SV=1	sp|Q54LB8|VP13A_DICDI	380 kDa	TRUE	20
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204937 PE=4 SV=1	tr|Q54S23|Q54S23_DICDI	126 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219914 PE=3 SV=1	tr|Q54B24|Q54B24_DICDI	497 kDa	TRUE	19
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0284853 PE=4 SV=2	tr|Q54P29|Q54P29_DICDI	469 kDa	TRUE	19
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa	TRUE	14
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188248 PE=4 SV=1	tr|Q54I12|Q54I12_DICDI	146 kDa		22
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0187780 PE=4 SV=1	tr|Q54JE9|Q54JE9_DICDI	205 kDa	TRUE	24
SAP DNA-binding domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277405 PE=4 SV=1	tr|Q8T2H8|Q8T2H8_DICDI	42 kDa	TRUE	1
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa		9
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59 kDa	TRUE	10
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa	TRUE	8
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		9
ATP-dependent Clp protease ATP-binding s	sp|P0A6H1|CLPX_ECOLI	46 kDa		19
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	sp|Q54UF3|DCOR_DICDI	52 kDa		6
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	18
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		8
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa		11
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa		10
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa	TRUE	8
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		6
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		0
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=1 SV=1	sp|Q86B20|EIF3A_DICDI	120 kDa	TRUE	17
Calcium up-regulated protein B OS=Dictyostelium discoideum GN=cupB PE=2 SV=1	sp|Q7Z203|CUPB_DICDI	86 kDa	TRUE	11
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		18
Putative uncharacterized protein dnajc13 OS=Dictyostelium discoideum GN=dnajc13 PE=4 SV=1	tr|Q54LZ3|Q54LZ3_DICDI	292 kDa	TRUE	18
Circularly permutated Ras protein 2 OS=Dictyostelium discoideum GN=cpras2 PE=3 SV=1	sp|Q54BW4|CPAS2_DICDI	443 kDa	TRUE	17
Aminoacylase-1 OS=Dictyostelium discoideum GN=acy1 PE=2 SV=1	sp|Q55DP8|ACY1_DICDI	47 kDa	TRUE	7
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191770 PE=4 SV=1	tr|Q54CA5|Q54CA5_DICDI	231 kDa	TRUE	12
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa	TRUE	7
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188270 PE=3 SV=1	tr|Q54HZ2|Q54HZ2_DICDI	32 kDa	TRUE	4
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa	TRUE	8
Ribonucleoside-diphosphate reductase large subunit OS=Dictyostelium discoideum GN=rnrA PE=3 SV=1	sp|Q54Q71|RIR1_DICDI	98 kDa	TRUE	11
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40 kDa	TRUE	2
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	29
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188978 PE=1 SV=1	tr|Q54FU0|Q54FU0_DICDI	16 kDa		2
Cytidylate kinase OS=Dictyostelium discoideum GN=pyrK PE=1 SV=2	sp|P20425|KCY_DICDI	22 kDa		3
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		0
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa	TRUE	9
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa	TRUE	7
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		6
von Willebrand factor A domain-containing protein DDB_G0286969 OS=Dictyostelium discoideum GN=DDB_G0286969 PE=4 SV=1	sp|C7G046|Y6969_DICDI	228 kDa	TRUE	12
Ras guanine nucleotide exchange factor F OS=Dictyostelium discoideum GN=gefF PE=2 SV=1	sp|Q54C94|GEFF_DICDI	126 kDa	TRUE	8
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa	TRUE	9
Mitochondrial substrate carrier family protein Z OS=Dictyostelium discoideum GN=mcfZ PE=2 SV=1	sp|Q54B67|MCFZ_DICDI	33 kDa		12
Putative uncharacterized protein sec24l OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	tr|Q54Z72|Q54Z72_DICDI	128 kDa	TRUE	9
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa		8
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa		5
26S proteasome non-ATPase regulatory subunit 11 OS=Dictyostelium discoideum GN=psmD11 PE=2 SV=1	sp|Q54UB5|PSD11_DICDI	48 kDa		11
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		12
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		2
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa	TRUE	7
Calcium-transporting ATPase PAT1 OS=Dictyostelium discoideum GN=patA PE=2 SV=2	sp|P54678|ATC1_DICDI	121 kDa	TRUE	18
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa	TRUE	5
Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI	25 kDa		4
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0294575 PE=4 SV=1	rtr|Q1ZXJ5|Q1ZXJ5_DICDI	?	TRUE	0
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa	TRUE	14
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	19
ATP synthase beta chain (EC 3.6.3.14).	sp|P0ABB4|ATPB_ECOLI	50 kDa	TRUE	14
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideum GN=ost1 PE=2 SV=1	sp|Q54C27|OST1_DICDI	52 kDa	TRUE	7
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI	118 kDa		15
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	sp|Q34312|NDUS1_DICDI	80 kDa	TRUE	18
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa	TRUE	3
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		15
Phosphoenolpyruvate synthase (EC 2.7.9.2	sp|P23538|PPSA_ECOLI	87 kDa	TRUE	22
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa		11
Neutral ceramidase A OS=Dictyostelium discoideum GN=dcd2A PE=1 SV=1	sp|Q54BK2|NCSEA_DICDI	78 kDa		8
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa	TRUE	2
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	7
Cytochrome c oxidase subunit 1+2 OS=Dictyostelium discoideum GN=cox1/2 PE=2 SV=1	sp|O21042|COX1_DICDI	86 kDa		9
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		13
NADH-ubiquinone oxidoreductase 49 kDa subunit OS=Dictyostelium discoideum GN=nad7 PE=1 SV=1	sp|Q23883|NDUS2_DICDI (+1)	47 kDa		9
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0295683 PE=4 SV=1	tr|B0G198|B0G198_DICDI	187 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189538 PE=4 SV=1	tr|Q55G82|Q55G82_DICDI	161 kDa		15
Maltoporin precursor (Maltose-inducible	sp|P02943|LAMB_ECOLI	50 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa	TRUE	8
Dynamin-like protein A OS=Dictyostelium discoideum GN=dlpA PE=2 SV=1	sp|Q55F94|DLPA_DICDI (+1)	100 kDa	TRUE	15
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		3
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		10
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa	TRUE	7
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa	TRUE	17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa	TRUE	14
10 kDa chaperonin (Protein Cpn10) (groES	sp|P0A6F9|CH10_ECOLI	10 kDa		1
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa		1
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa		0
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa		3
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		8
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		2
30S ribosomal protein S9.	sp|P0A7X3|RS9_ECOLI	15 kDa		15
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa	TRUE	7
Coactosin OS=Dictyostelium discoideum GN=coaA PE=1 SV=1	sp|P34121|COAA_DICDI	16 kDa		2
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186144 PE=4 SV=1	tr|Q54P97|Q54P97_DICDI	195 kDa	TRUE	13
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa	TRUE	8
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		4
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa		7
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa	TRUE	16
Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1	sp|Q1ZXQ1|FAAA_DICDI	47 kDa		4
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa	TRUE	12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		8
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa	TRUE	4
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa	TRUE	6
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa	TRUE	13
Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI	17 kDa		2
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		0
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190281 PE=4 SV=1	tr|Q55DZ3|Q55DZ3_DICDI	258 kDa	TRUE	13
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=rnf160 PE=4 SV=1	tr|Q555H8|Q555H8_DICDI	213 kDa	TRUE	13
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		8
Phosphatidylinositol transfer protein 1 OS=Dictyostelium discoideum GN=pitA PE=1 SV=1	sp|Q9NCL8|PITP1_DICDI	31 kDa	TRUE	4
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		6
Ubiquinol-cytochrome c reductase iron-sulfur subunit (Fragment) OS=Dictyostelium discoideum GN=ucr PE=3 SV=2	tr|Q54NW9|Q54NW9_DICDI	23 kDa	TRUE	6
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa	TRUE	9
Phenylalanyl-tRNA synthetase alpha chain OS=Dictyostelium discoideum GN=pheSA PE=3 SV=1	sp|Q54KS8|SYFA_DICDI	56 kDa		3
Copine-E OS=Dictyostelium discoideum GN=cpnE PE=2 SV=1	sp|Q54FY7|CPNE_DICDI	64 kDa		0
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		2
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa	TRUE	2
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0289141 PE=4 SV=2	tr|Q54HY5|Q54HY5_DICDI	197 kDa	TRUE	12
T-complex protein 1 subunit beta OS=Dictyostelium discoideum GN=cct2 PE=1 SV=1	sp|Q54ES9|TCPB_DICDI	58 kDa		3
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa	TRUE	19
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa	TRUE	5
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204927 PE=4 SV=1	tr|Q54S30|Q54S30_DICDI	74 kDa	TRUE	14
Probable lanosterol 14-alpha demethylase OS=Dictyostelium discoideum GN=cyp51 PE=3 SV=1	sp|Q1ZXH9|CP51_DICDI	53 kDa	TRUE	9
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38 kDa		7
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa	TRUE	4
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa	TRUE	2
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		0
Bifunctional putA protein [Includes: Pro	sp|P09546|PUTA_ECOLI	144 kDa		14
Cytochrome c oxidase subunit 3 OS=Dictyostelium discoideum GN=cox3 PE=3 SV=1	sp|O21049|COX3_DICDI	50 kDa		14
Eukaryotic translation initiation factor 4 gamma OS=Dictyostelium discoideum GN=eif4g PE=3 SV=1	sp|Q553R3|IF4G_DICDI	155 kDa	TRUE	10
Probable inactive serine/threonine-protein kinase DDB_G0278909 OS=Dictyostelium discoideum GN=DDB_G	rsp|Q54XI9|Y0124_DICDI	?	TRUE	4
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		15
DOCK family protein OS=Dictyostelium discoideum GN=zizB PE=4 SV=1	tr|Q54CA8|Q54CA8_DICDI	242 kDa	TRUE	11
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		8
Hydroxymethylglutaryl-CoA synthase A OS=Dictyostelium discoideum GN=hgsA PE=1 SV=2	sp|P54872|HMCSA_DICDI	54 kDa	TRUE	10
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		2
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1"	sp|Q869Z4|PCKGM_DICDI	72 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa	TRUE	8
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	sp|Q94502|GANAB_DICDI	109 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189206 PE=4 SV=1	tr|Q54F90|Q54F90_DICDI	96 kDa		11
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		11
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa	TRUE	12
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa	TRUE	14
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa	TRUE	5
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20 kDa	TRUE	1
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35 kDa		8
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219276 PE=4 SV=1	tr|Q54JS9|Q54JS9_DICDI	38 kDa		3
Nascent polypeptide-associated complex subunit beta OS=Dictyostelium discoideum GN=nacB PE=3 SV=1	sp|Q54TR8|NACB_DICDI	15 kDa		1
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa	TRUE	12
Calcium-binding protein M OS=Dictyostelium discoideum GN=cbpM PE=1 SV=1	sp|Q54LX0|CBPM_DICDI	21 kDa		1
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0285063 PE=4 SV=1	tr|C7G034|C7G034_DICDI	425 kDa	TRUE	10
Coatomer subunit delta OS=Dictyostelium discoideum GN=copd PE=3 SV=1	sp|Q55EZ6|COPD_DICDI	60 kDa		6
AP-1 complex subunit gamma OS=Dictyostelium discoideum GN=ap1g1 PE=1 SV=1	sp|Q8I8U2|AP1G_DICDI	100 kDa	TRUE	8
T-complex protein 1 subunit delta OS=Dictyostelium discoideum GN=cct4 PE=3 SV=1	sp|Q54CL2|TCPD_DICDI	57 kDa		1
