Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa		4
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		39
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa	TRUE	9
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa	TRUE	15
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43 kDa		17
"Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1"	sp|Q54VA2|FUMH_DICDI	53 kDa	TRUE	11
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		19
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa	TRUE	45
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		17
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa	TRUE	19
"Sulfide:quinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=sqrdl PE=3 SV=1"	sp|Q54DK1|SQRD_DICDI	50 kDa	TRUE	18
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa	TRUE	13
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa	TRUE	11
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa		48
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		18
"Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1"	sp|Q54D07|CY1_DICDI	31 kDa		10
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		13
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI	38 kDa	TRUE	10
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa		9
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa	TRUE	18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		25
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI	44 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa	TRUE	13
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa	TRUE	2
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI	46 kDa		4
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa	TRUE	23
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa		9
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		7
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		9
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65 kDa		7
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa		48
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	30
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa	TRUE	5
Flavohemoprotein A OS=Dictyostelium discoideum GN=fhbA PE=2 SV=1	sp|Q9UAG7|FHBA_DICDI	44 kDa		25
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35 kDa	TRUE	26
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=1 SV=2	sp|P34113|RL3_DICDI	45 kDa		7
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	20
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		14
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		7
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		19
Major outer membrane lipoprotein precurs	sp|P69776|LPP_ECOLI	8 kDa		59
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa	TRUE	14
Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI	31 kDa	TRUE	6
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44 kDa		11
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		19
"Glycine dehydrogenase [decarboxylating], mitochondrial OS=Dictyostelium discoideum GN=gcvP PE=3 SV=1"	sp|Q54KM7|GCSP_DICDI	110 kDa	TRUE	0
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa		11
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		2
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		18
CTP synthase OS=Dictyostelium discoideum GN=ctps PE=3 SV=1	sp|Q54V77|PYRG_DICDI	63 kDa		0
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		24
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		7
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa	TRUE	9
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa	TRUE	3
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		24
Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum GN=vatM PE=1 SV=2	sp|Q54E04|VATM_DICDI	93 kDa		7
Centractin OS=Dictyostelium discoideum GN=arpA PE=1 SV=1	sp|Q54I79|ACTY_DICDI	43 kDa	TRUE	0
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	sp|Q34312|NDUS1_DICDI	80 kDa		8
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		20
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		23
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa		0
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57 kDa	TRUE	3
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	sp|Q54E83|GSHB_DICDI	54 kDa		5
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		13
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI	84 kDa		3
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa	TRUE	5
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		21
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa	TRUE	8
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa		5
Vegetative-specific protein H5 OS=Dictyostelium discoideum GN=cinB PE=2 SV=2	sp|P14326|VSH5_DICDI (+1)	39 kDa	TRUE	27
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa		4
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43 kDa	TRUE	19
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		17
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		17
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	sp|P34098|MANA_DICDI	113 kDa		3
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		11
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		7
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		7
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		17
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188270 PE=3 SV=1	tr|Q54HZ2|Q54HZ2_DICDI	32 kDa	TRUE	5
Glycoside hydrolase family 63 protein OS=Dictyostelium discoideum GN=DDB_0206405 PE=4 SV=1	tr|Q54VT5|Q54VT5_DICDI	100 kDa		0
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39 kDa	TRUE	10
"Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1"	sp|Q9GRX6|AIFM1_DICDI	60 kDa	TRUE	2
Bifunctional aspartokinase/homoserine de	sp|P00562|AK2H_ECOLI	89 kDa	TRUE	46
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184177 PE=4 SV=1	tr|Q54DU0|Q54DU0_DICDI	49 kDa		0
Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI	41 kDa		7
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		6
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		2
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	sp|P34036|DYHC_DICDI	540 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191770 PE=4 SV=1	tr|Q54CA5|Q54CA5_DICDI	231 kDa	TRUE	2
GTP cyclohydrolase 1 OS=Dictyostelium discoideum GN=gchA PE=1 SV=2	sp|Q94465|GCH1_DICDI	26 kDa	TRUE	6
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		5
Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI	55 kDa		18
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		9
cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI (+1)	35 kDa	TRUE	5
Ran-specific GTPase-activating protein homolog OS=Dictyostelium discoideum GN=ranbp1 PE=1 SV=1	sp|Q54KD9|RANG_DICDI	22 kDa		17
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		11
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa		4
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		5
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa	TRUE	12
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa		2
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa	TRUE	3
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51 kDa		13
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		31
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa		4
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1"	sp|Q869S7|SUCB2_DICDI	46 kDa		8
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		9
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		7
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa	TRUE	6
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		3
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	2
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa	TRUE	7
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		11
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		3
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		8
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		19
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa	TRUE	22
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		8
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa	TRUE	16
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		0
Eukaryotic translation initiation factor 3 subunit M OS=Dictyostelium discoideum GN=eif3m PE=1 SV=1	sp|Q54KZ8|EIF3M_DICDI	47 kDa		4
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa		4
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa	TRUE	14
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=pdhC PE=2 SV=2"	sp|P36413|ODP2_DICDI	69 kDa	TRUE	11
Probable glutaminyl-tRNA synthetase OS=Dictyostelium discoideum GN=glnS PE=2 SV=2	sp|P14325|SYQ_DICDI	88 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa	TRUE	0
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa		0
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		31
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa		24
Protein P80 OS=Dictyostelium discoideum GN=p80 PE=2 SV=1	sp|Q7YXD4|P80_DICDI	58 kDa		0
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa	TRUE	12
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		16
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa		10
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa	TRUE	23
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa	TRUE	7
Probable UDP-glucose:glycoprotein glucosyltransferase A OS=Dictyostelium discoideum GN=ggtA PE=1 SV=2	sp|Q8T191|UGGG_DICDI	193 kDa	TRUE	0
Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1	sp|Q54JI7|HUTH_DICDI	59 kDa		2
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		24
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI	268 kDa	TRUE	2
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa	TRUE	2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		8
Methylenetetrahydrofolate dehydrogenase [NAD+] OS=Dictyostelium discoideum GN=thfA PE=3 SV=1	sp|Q86KU6|MTD1_DICDI	35 kDa		10
Putative actin-24 OS=Dictyostelium discoideum GN=act24 PE=3 SV=1	sp|Q54HF1|ACT24_DICDI	42 kDa	TRUE	30
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa	TRUE	4
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa		3
Copine-E OS=Dictyostelium discoideum GN=cpnE PE=2 SV=1	sp|Q54FY7|CPNE_DICDI	64 kDa	TRUE	0
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		2
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa	TRUE	9
"Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1"	sp|Q1ZXF1|ECHM_DICDI	30 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa	TRUE	5
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa	TRUE	7
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		6
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		3
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa		0
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	21
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa	TRUE	3
Uncharacterized protein DDB_G0279527 OS=Dictyostelium discoideum GN=DDB_G0279527 PE=1 SV=1	sp|Q54WN8|Y7952_DICDI	144 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa	TRUE	12
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa	TRUE	18
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa		3
Putative uncharacterized protein adprt3 OS=Dictyostelium discoideum GN=adprt3 PE=4 SV=1	tr|Q54E42|Q54E42_DICDI (+1)	284 kDa	TRUE	0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI	54 kDa	TRUE	3
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa		5
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		16
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa		5
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		9
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa		8
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	sp|Q8T137|GSHR_DICDI	50 kDa		5
60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI	24 kDa		4
Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI	48 kDa	TRUE	6
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa		2
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa	TRUE	6
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa	TRUE	3
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		8
