Identified Proteins (461)	Accession Number	Mass	Protein Grouping Ambiguity	KP Rap IP
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	Q34312	1		4
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	Q23919	1		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_0231476 PE=3 SV=1	Q54IU0	1		5
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	Q54QW1	1		5
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	Q54T59	1		5
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	Q54UQ2	1		6
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=3 SV=1	Q8T8P2	1		7
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	Q55EK2	1		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	Q54G77	1		4
Calcineurin subunit A OS=Dictyostelium discoideum GN=canA PE=1 SV=1	Q7YSW8	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218292 PE=4 SV=1	Q54U95	1		4
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	Q54MJ7	1		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201696 PE=4 SV=1	Q55E77	1		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0231540 PE=4 SV=1	Q54P88	1		5
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	Q55D68	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	Q55CE9	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	Q75JS7	1		3
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	Q54XC1	1		5
Probable lanosterol 14-alpha demethylase OS=Dictyostelium discoideum GN=cyp51 PE=3 SV=1	Q1ZXH9	1		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186526 PE=4 SV=1	Q54N59	1		6
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	P34109	1	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	Q54F09	1		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	Q54I73	1		3
D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	Q54UH8	1		5
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	Q6UK63	1		5
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	Q54KR1	1		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	Q54N71	1		1
Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1	Q86AV6	1	TRUE	5
Serine palmitoyltransferase 2 OS=Dictyostelium discoideum GN=sptB PE=3 SV=1	Q54EX5	1		1
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	O76856	1		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168980 PE=4 SV=1	Q86B07	1		4
Probable 4-coumarate--CoA ligase 1 OS=Dictyostelium discoideum GN=4cl1 PE=3 SV=1	Q54P77 (+1)	1		4
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	Q54J34	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	Q54CF7	1		4
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	Q86KD1	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0234030 PE=4 SV=1	B0G193 (+1)	1	TRUE	2
"Sulfide:quinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=sqrdl PE=3 SV=1"	Q54DK1	1		4
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	P11872	1		3
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0231600 PE=3 SV=1	Q54I27	1		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206474 PE=4 SV=2	Q54VL9	1		5
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	Q54E83	1		4
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	Q54YD8	1		3
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	Q86AS6	1		3
Calnexin OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	Q55BA8 (+1)	1		5
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	Q54DD0	1		3
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0231393 PE=4 SV=1	Q55BH8	1		1
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=3 SV=1	Q8T6B8	1		6
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	Q94502	1		5
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	Q54YA0	1		5
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	Q8T137	1		4
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	Q54UF3	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167593 PE=4 SV=1	Q8T294	1		2
Ras-related GTP-binding protein OS=Dictyostelium discoideum GN=ragC PE=4 SV=1	Q54PK6	1		5
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	Q7KWS3	1		3
Probable urocanate hydratase OS=Dictyostelium discoideum GN=uroc1 PE=3 SV=2	Q86AX3	1		2
Diphosphomevalonate decarboxylase OS=Dictyostelium discoideum GN=mvd PE=3 SV=1	Q54YQ9	1		1
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	Q55AW9	1		3
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	Q54TD3	1		2
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	Q86IY4	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218901 PE=4 SV=1	Q54KR6	1		3
Tetratricopeptide-like helical domain-containing protein (TPR) OS=Dictyostelium discoideum GN=DG109	Q54HV0	1		4
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	Q556J8	1		3
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=3 SV=2	P34113	1		4
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	Q86KI1	1		3
Coatomer subunit delta OS=Dictyostelium discoideum GN=copd PE=3 SV=1	Q55EZ6	1		2
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	P34098	1		4
UPF0652 protein OS=Dictyostelium discoideum GN=DDB_G0293552 PE=3 SV=1	Q54BM8	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	Q55AN3 (+1)	1		3
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	Q556U6	1		2
Putative alpha-amylase OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	Q54TS5	1		4
Pantothenate kinase OS=Dictyostelium discoideum GN=DDB_0231513 PE=4 SV=1	Q54G51	1		2
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	Q86A85	1		4
Serine/threonine-protein kinase 4 homolog B OS=Dictyostelium discoideum GN=krsB PE=3 SV=1	Q55FS2	1		5
Cullin-2 OS=Dictyostelium discoideum GN=culB PE=2 SV=1	Q9XZJ3	1		5
NADPH oxidoreductase A OS=Dictyostelium discoideum GN=redA PE=2 SV=1	Q54B10	1		4
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	Q86IV4	1		4
Dihydropyrimidinase OS=Dictyostelium discoideum GN=pyd2 PE=1 SV=1	Q55DL0	1		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169405 PE=4 SV=2	Q86AD3	1		4
Ubiquitin carboxyl-terminal hydrolase A OS=Dictyostelium discoideum GN=ubpA PE=2 SV=2	P54201	1		3
26S protease regulatory subunit 7 OS=Dictyostelium discoideum GN=psmC2 PE=1 SV=1	Q86JA1	1	TRUE	2
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	Q54M70	1		3
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideu"	Q9U3X4	1		4
Type A von Willebrand factor (VWFA) domain-containing protein OS=Dictyostelium discoideum GN=DDB_02	Q54SU8	1		2
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	Q6TU48	1		3
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	Q54DA9	1		2
Putative transport protein OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	Q54Z72 (+1)	1		3
Guanine deaminase OS=Dictyostelium discoideum GN=guaD PE=3 SV=1	Q86AW9	1		3
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	Q54EW1	1	TRUE	4
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	P90521	1		3
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	Q54JQ2	1		2
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	Q55CT5	1		3
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideu	Q54C27	1		2
AP-3 complex subunit delta OS=Dictyostelium discoideum GN=ap3d1 PE=3 SV=1	Q54WN0	1		2
Vacuolin-B OS=Dictyostelium discoideum GN=vacB PE=1 SV=1	Q54WZ2	1	TRUE	5
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	Q54G06	1		1
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	O96455 (+1)	1		3
Thiamine pyrophosphate-binding enzyme family protein OS=Dictyostelium discoideum GN=ilvB PE=3 SV=1	B0G117	1		2
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	Q55C99	1		2
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	Q54ML1	1		2
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	Q54QI4	1		3
Tyrosine aminotransferase OS=Dictyostelium discoideum GN=tat PE=3 SV=1	Q54K95	1		2
Methylenetetrahydrofolate reductase OS=Dictyostelium discoideum GN=DDB_0230137 PE=3 SV=1	Q54X84	1		1
Myosin-J heavy chain OS=Dictyostelium discoideum GN=myoJ PE=4 SV=2	P54697	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	Q86J04	1		2
GPN-loop GTPase 1 homolog OS=Dictyostelium discoideum GN=xab1 PE=3 SV=1	Q54C25	1		3
GAPA OS=Dictyostelium discoideum GN=gapA PE=4 SV=1	O00899	1		3
Similar to Thermotoga maritima. Threonine dehydratase catabolic OS=Dictyostelium discoideum GN=DDB_	Q86AP7	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	Q869X1	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206311 PE=4 SV=1	Q54W90	1		2
Putative calcium up-regulated protein H OS=Dictyostelium discoideum GN=cupH PE=3 SV=1	Q54FW5 (+1)	1	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	Q55FM2	1		1
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	Q54IK3	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167708 PE=4 SV=1	Q86HP1	1		1
AP-1 complex subunit mu OS=Dictyostelium discoideum GN=apm1 PE=1 SV=1	Q54HS9	1		4
Acetyl-coenzyme A synthetase OS=Dictyostelium discoideum GN=acsA PE=3 SV=1	Q54Z60	1		4
Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum GN=naprt PE=2 SV=1	Q55G10	1		4
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	Q75JI3	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216422 PE=4 SV=1	Q8T2H8	1		3
Galactokinase OS=Dictyostelium discoideum GN=galK PE=3 SV=1	Q54DN6	1		3
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0234144 PE=4 SV=2	Q54LF1	1		3
Protein transport protein SEC24 OS=Dictyostelium discoideum GN=sec24 PE=3 SV=1	Q54U61	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	Q552L7	1		2
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	P42528	1		3
Leucine-rich repeat-containing protein (LRR) OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	Q54MF0	1		2
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	Q58A42	1		2
26S proteasome non-ATPase regulatory subunit 12 OS=Dictyostelium discoideum GN=psmD12 PE=2 SV=1	Q54UJ0	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186637 PE=4 SV=1	Q54MU8	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185382 PE=3 SV=1	Q54RH6	1		2
Alpha-glucosidase OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	Q55D50	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	Q54DD1	1		2
Putative calpain-like cysteine protease A OS=Dictyostelium discoideum GN=cplA PE=1 SV=1	Q8MUF9	1		2
Poly(ADP-ribosyl)transferase OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	Q54XI2 (+1)	1		1
Mannose-1-phosphate guanyltransferase alpha OS=Dictyostelium discoideum GN=gmppA PE=2 SV=1	Q86HG0	1		2
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	Q54JP5	1		2
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	P34036	1		2
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=	Q54MB4	1		2
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	Q54Q07	1		3
UV excision repair protein RAD23 homolog OS=Dictyostelium discoideum GN=rcbA PE=1 SV=1	Q54LV1	1		2
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	Q54GL5	1		3
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp14 PE=3 SV=1	Q55BC4	1		1
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 OS=Dictyostelium discoi	Q54NM9	1		1
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=2 SV=1	P34123	1	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205201 PE=4 SV=1	Q54VD2	1		1
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	Q54HL0	1		1
Serine/threonine-protein phosphatase 2A regulatory subunit pppA OS=Dictyostelium discoideum GN=pppA	Q54QR9	1		1
Sec1-like family protein OS=Dictyostelium discoideum GN=vps33 PE=4 SV=1	Q54F53	1		1
Fatty acyl-CoA synthetase OS=Dictyostelium discoideum GN=fcsB PE=4 SV=1	Q1ZXQ4	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	Q54J53	1		3
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	Q54N49	1		3
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	Q54SV3	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218357 PE=4 SV=1	Q54T11	1		3
Serine palmitoyltransferase 1 OS=Dictyostelium discoideum GN=sptA PE=3 SV=1	Q55FL5	1		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	Q86K67	1		3
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_0230064 PE=1 SV=1	Q54F74	1		2
"Acyl-CoA synthetase short-chain family member B, mitochondrial OS=Dictyostelium discoideum GN=aslB"	Q554Z5	1		2
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	Q86K21	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	Q54W38	1		2
Putative DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=DDB_0189869 PE=1 SV=1	Q55F84	1		2
Flavohemoprotein B OS=Dictyostelium discoideum GN=fhbB PE=1 SV=1	Q54D73	1		2
Putative 5'-nucleotidase OS=Dictyostelium discoideum GN=DDB_0230204 PE=4 SV=1	Q54JY6	1		2
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	Q54CC5	1		2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoi	Q54HG9	1		2
DnaJ homolog subfamily C member 7 homolog OS=Dictyostelium discoideum GN=dnajc7 PE=1 SV=1	Q54IP0	1		2
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	Q9NKW1	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191011 PE=4 SV=1	Q55BT0	1		2
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	Q54BM7	1		2
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	Q54JM3	1		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	Q54FY3	1	TRUE	5
Darlin OS=Dictyostelium discoideum GN=darA PE=4 SV=1	O76187	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	Q54B43	1		1
Probable serine/threonine-protein kinase DDB_G0277989 OS=Dictyostelium discoideum GN=DDB_G0277989 P	Q54YZ5	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185564 PE=4 SV=1	Q54QX1	1		2
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	Q55ED1	1		2
Nuclear protein localization protein 4 homolog OS=Dictyostelium discoideum GN=nploc4 PE=3 SV=1	Q54GD3	1		1
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=3 SV=1	Q86B20	1		3
Cullin-3 OS=Dictyostelium discoideum GN=culC PE=3 SV=1	Q54NZ5	1		1
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=3 SV=1	Q54K67	1		1
Myosin heavy chain kinase A OS=Dictyostelium discoideum GN=mhkA PE=1 SV=2	P42527	1		1
Oxysterol-binding protein 7 OS=Dictyostelium discoideum GN=osbG PE=3 SV=1	Q54RM1	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217899 PE=4 SV=1	Q550J5 (+1)	1		1
Protovillin OS=Dictyostelium discoideum GN=vilB PE=1 SV=1	P36418	1		2
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	P54648	1		2
"Probable isoleucyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mileS PE=3 SV=1"	Q54CE4	1		2
Strumpellin homolog OS=Dictyostelium discoideum GN=DDB_G0288569 PE=3 SV=1	Q54IR8	1		2
Putative pantetheine-phosphate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_0231518 PE=4	Q54IX0	1		2
Heat shock 70-related protein 5 OS=Dictyostelium discoideum GN=DDB_G0285709 PE=3 SV=1	Q54MR6	1		2
rRNA methyltransferase 3 homolog OS=Dictyostelium discoideum GN=fsjC PE=3 SV=1	Q54NX0	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204271 PE=3 SV=1	Q54TA6	1	TRUE	3
ATP-dependent RNA helicase ddx19 OS=Dictyostelium discoideum GN=helC PE=2 SV=1	Q54TF8	1		2
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum"	Q54XM6	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205378 PE=4 SV=1	Q54YA9	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217928 PE=4 SV=1	Q550C8	1		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202949 PE=4 SV=1	Q551A9	1		2
Group IV decarboxylase OS=Dictyostelium discoideum GN=ddcB PE=1 SV=1	Q75JL7	1		2
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,"	Q869Y7	1		2
Autophagy-related protein 7 OS=Dictyostelium discoideum GN=atg7 PE=3 SV=1	Q86CR9	1		2
Hydroxymethylglutaryl-CoA synthase B OS=Dictyostelium discoideum GN=hgsB PE=3 SV=1	Q86HL5	1		2
Oxysterol-binding protein 6 OS=Dictyostelium discoideum GN=osbF PE=3 SV=1	Q86HV4	1		2
ABC transporter F family member 2 OS=Dictyostelium discoideum GN=abcF2 PE=3 SV=1	Q8T6B7	1		2
Squalene monooxygenase OS=Dictyostelium discoideum GN=sqle PE=4 SV=1	Q54BK7	1		2
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	Q54D04	1		1
Exportin-1 OS=Dictyostelium discoideum GN=xpo1 PE=3 SV=2	Q54EV7	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169521 PE=4 SV=1	Q75JG3	1		1
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	Q23892	1		1
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=2 SV=2	O15818	1		1
Exportin-4 OS=Dictyostelium discoideum GN=xpo4 PE=3 SV=1	Q54UP5	1		1
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=rvb1 PE=4 SV=1	Q54C28	1		1
Serine/threonine-protein kinase pakC OS=Dictyostelium discoideum GN=pakC PE=1 SV=1	Q55GV3	1		1
Copine-C OS=Dictyostelium discoideum GN=cpnC PE=2 SV=1	Q54P51	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188200 PE=4 SV=1	Q54I59	1		1
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1"	Q54I90	1		1
T-complex protein 1 subunit zeta OS=Dictyostelium discoideum GN=cct6 PE=1 SV=1	Q76NU3	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187827 PE=4 SV=1	Q54J99	1		1
tRNA (guanine-N(7)-)-methyltransferase subunit WDR4 OS=Dictyostelium discoideum GN=wdr4 PE=3 SV=1	Q54UI3	1		1
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_0233015 PE=4	Q54UD1	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205282 PE=4 SV=1	Q54ST5	1		1
Uridine-cytidine kinase C OS=Dictyostelium discoideum GN=udkC PE=3 SV=1	Q54R62	1		1
Probable serine carboxypeptidase CPVL OS=Dictyostelium discoideum GN=cpvl PE=3 SV=1	Q869Q8	1		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185703 PE=4 SV=1	Q54QI3	1		1
Regulator of chromosome condensation (RCC1) domain-containing protein OS=Dictyostelium discoideum G	Q54BC4	1		1
