Identified Proteins (998)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasC-GST-PO
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=1 SV=2	sp|P34113|RL3_DICDI	45 kDa		11
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		16
26S protease regulatory subunit 6A homolog OS=Dictyostelium discoideum GN=psmC3 PE=1 SV=1	sp|Q54PN7|PRS6A_DICDI	47 kDa	TRUE	14
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		16
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	16
"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Dictyostelium discoideum GN=mmsdh PE=3 SV=1"	sp|Q54I10|MMSA_DICDI	57 kDa		16
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa		14
Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI	25 kDa	TRUE	14
50S ribosomal protein L13.	sp|P0AA10|RL13_ECOLI	16 kDa		14
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa	TRUE	14
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI	61 kDa		14
Carbamoyl-phosphate synthase large chain	sp|P00968|CARB_ECOLI	118 kDa		12
Dipeptidyl-peptidase 3 OS=Dictyostelium discoideum GN=dpp3-1 PE=3 SV=1	sp|Q557H1|DPP3_DICDI	78 kDa		13
Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3	sp|P07828|ACT18_DICDI	43 kDa	TRUE	86
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa	TRUE	15
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		13
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI (+1)	29 kDa		10
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa		13
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		17
2-oxoglutarate dehydrogenase E1 componen	sp|P0AFG3|ODO1_ECOLI	105 kDa		8
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI	176 kDa	TRUE	10
Cullin-1 OS=Dictyostelium discoideum GN=culA PE=1 SV=1	sp|O60999|CUL1_DICDI	89 kDa	TRUE	11
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		10
Protein ydgA precursor.	sp|P77804|YDGA_ECOLI	55 kDa		13
T-complex protein 1 subunit zeta OS=Dictyostelium discoideum GN=cct6 PE=1 SV=1	sp|Q76NU3|TCPZ_DICDI	59 kDa	TRUE	12
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa		15
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase OS=Dictyostelium discoideum GN=plc PE=2 SV=1"	sp|Q02158|PLC_DICDI	91 kDa		11
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		14
Phenylalanine-4-hydroxylase OS=Dictyostelium discoideum GN=pah PE=1 SV=1	sp|Q54XS1|PH4H_DICDI	50 kDa		15
Flavohemoprotein A OS=Dictyostelium discoideum GN=fhbA PE=2 SV=1	sp|Q9UAG7|FHBA_DICDI	44 kDa		14
Ras guanine nucleotide exchange factor F OS=Dictyostelium discoideum GN=gefF PE=2 SV=1	sp|Q54C94|GEFF_DICDI	126 kDa		6
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	15
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa		14
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa		9
DNA gyrase subunit A (EC 5.99.1.3).	sp|P0AES4|GYRA_ECOLI	97 kDa		7
Enolase (EC 4.2.1.11) (2-phosphoglycerat	sp|P0A6P9|ENO_ECOLI	46 kDa		14
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa	TRUE	11
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa		8
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa		11
Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI	44 kDa		14
UPF0141 protein yijP.	sp|P32678|YIJP_ECOLI	67 kDa		9
Alpha amylase domain-containing protein OS=Dictyostelium discoideum GN=gtr2 PE=4 SV=1	tr|Q75JH8|Q75JH8_DICDI	275 kDa		11
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa	TRUE	11
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44 kDa		11
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa		12
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	19
50S ribosomal protein L19.	sp|P0A7K6|RL19_ECOLI	13 kDa	TRUE	9
Cyclic GMP-binding protein C OS=Dictyostelium discoideum GN=gbpC PE=1 SV=1	sp|Q8MVR1|GBPC_DICDI	294 kDa		6
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		13
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		11
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		12
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		10
Vacuolin-A OS=Dictyostelium discoideum GN=vacA PE=1 SV=1	sp|O15706|VACA_DICDI	66 kDa	TRUE	13
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0185652 PE=3 SV=1	tr|Q54QN6|Q54QN6_DICDI	27 kDa		13
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		12
"Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1"	sp|Q54JD9|SCOT_DICDI	55 kDa		12
5-methyltetrahydropteroyltriglutamate--h	sp|P25665|METE_ECOLI	85 kDa		10
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa		9
Peptidase S8 and S53 domain-containing protein OS=Dictyostelium discoideum GN=V4-7 PE=4 SV=1	tr|Q54TD0|Q54TD0_DICDI	76 kDa		13
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284167 PE=4 SV=1	tr|Q54Q30|Q54Q30_DICDI	32 kDa		12
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		13
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		11
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa		14
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		10
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa		13
Cold-shock DEAD box protein A (EC 3.6.1.	sp|P0A9P6|DEAD_ECOLI	70 kDa		9
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa		12
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa	TRUE	11
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaA PE=4 SV=1	tr|Q55CT4|Q55CT4_DICDI	99 kDa		13
Myosin IB heavy chain OS=Dictyostelium discoideum GN=myoB PE=1 SV=2	sp|P34092|MYOB_DICDI	124 kDa	TRUE	15
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		10
Fimbrin OS=Dictyostelium discoideum GN=fimA PE=2 SV=2	sp|P54680|FIMB_DICDI	67 kDa		13
Heat shock protein 88 OS=Dictyostelium discoideum GN=hspH PE=1 SV=1	sp|Q6TMK3|HSP88_DICDI	86 kDa		9
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_0217656 PE=3 SV=1	tr|Q553T4|Q553T4_DICDI	343 kDa	TRUE	10
Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1	sp|Q54Y55|SHKC_DICDI	57 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189538 PE=4 SV=1	tr|Q55G82|Q55G82_DICDI	161 kDa		9
26S protease regulatory subunit 4 homolog OS=Dictyostelium discoideum GN=psmC1 PE=1 SV=1	sp|Q55BV5|PRS4_DICDI	49 kDa		10
Protease degQ precursor (EC 3.4.21.-).	sp|P39099|DEGQ_ECOLI	47 kDa		9
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48 kDa		11
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=pdhC PE=2 SV=2"	sp|P36413|ODP2_DICDI	69 kDa		10
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa		11
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18 kDa		6
Alkyl hydroperoxide reductase subunit C	sp|P0AE08|AHPC_ECOLI	21 kDa		12
"Nucleoside diphosphate kinase, mitochondrial OS=Dictyostelium discoideum GN=ndkM PE=1 SV=2"	sp|P34093|NDKM_DICDI	24 kDa		11
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		13
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		8
Arf guanyl-nucleotide exchange factor OS=Dictyostelium discoideum GN=DDB_0219551 PE=4 SV=1	tr|Q54G75|Q54G75_DICDI	215 kDa		10
Armadillo-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168059 PE=4 SV=1	tr|Q556T7|Q556T7_DICDI	231 kDa		10
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI	95 kDa		10
Coatomer subunit alpha OS=Dictyostelium discoideum GN=copa PE=3 SV=1	sp|Q55FR9|COPA_DICDI	139 kDa	TRUE	9
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa	TRUE	9
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa		9
Isoleucyl-tRNA synthetase (EC 6.1.1.5) (	sp|P00956|SYI_ECOLI	104 kDa		10
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		8
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa	TRUE	9
Serine/threonine-protein phosphatase 2A regulatory subunit pppA OS=Dictyostelium discoideum GN=pppA PE=2 SV=1	sp|Q54QR9|2AAA_DICDI	65 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa		9
30S ribosomal protein S6 [Contains: 30S	sp|P02358|RS6_ECOLI	16 kDa		8
Pyruvate kinase OS=Dictyostelium discoideum GN=pyk PE=3 SV=1	sp|Q54RF5|KPYK_DICDI	55 kDa	TRUE	10
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		10
"GrpE protein homolog, mitochondrial OS=Dictyostelium discoideum GN=grpE PE=3 SV=1"	sp|Q54QF9|GRPE_DICDI	25 kDa		7
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa		8
T-complex protein 1 subunit beta OS=Dictyostelium discoideum GN=cct2 PE=1 SV=1	sp|Q54ES9|TCPB_DICDI	58 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216722 PE=4 SV=1	tr|Q55CT6|Q55CT6_DICDI	78 kDa		9
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa		9
50S ribosomal protein L20.	sp|P0A7L3|RL20_ECOLI	13 kDa		7
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa	TRUE	7
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa	TRUE	10
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa		8
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		9
Chromosome partition protein mukB (Struc	sp|P22523|MUKB_ECOLI	170 kDa	TRUE	7
Phosphoenolpyruvate synthase (EC 2.7.9.2	sp|P23538|PPSA_ECOLI	87 kDa		10
Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI	83 kDa		11
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa		6
Ras-like protein rasD OS=Dictyostelium discoideum GN=rasD PE=2 SV=2	sp|P03967|RASD_DICDI	21 kDa	TRUE	644
Ubiquitin-protein ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187369 PE=4 SV=1	tr|Q54KP2|Q54KP2_DICDI	210 kDa		10
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		9
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr23 PE=4 SV=1	tr|Q54E28|Q54E28_DICDI	77 kDa	TRUE	7
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa	TRUE	8
Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI	99 kDa		3
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa		8
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=rnf160 PE=4 SV=1	tr|Q555H8|Q555H8_DICDI	213 kDa		11
Succinate dehydrogenase flavoprotein sub	sp|P0AC41|DHSA_ECOLI	64 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204139 PE=1 SV=1	tr|Q54U38|Q54U38_DICDI	30 kDa		9
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa	TRUE	9
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51 kDa		8
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa		10
30S ribosomal protein S12.	sp|P0A7S3|RS12_ECOLI	14 kDa		11
ATP synthase B chain (EC 3.6.3.14).	sp|P0ABA0|ATPF_ECOLI	17 kDa		10
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa		6
"Probable glutamyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=gluS PE=2 SV=1"	sp|Q54KB8|SYEC_DICDI	86 kDa		7
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa		7
Talin-B OS=Dictyostelium discoideum GN=talB PE=2 SV=1	sp|Q54K81|TALB_DICDI	278 kDa		11
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa	TRUE	8
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa		10
Serine/threonine-protein kinase pakG OS=Dictyostelium discoideum GN=pakG PE=3 SV=1	sp|Q54RV3|PAKG_DICDI	128 kDa		6
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		9
ABC transporter ATP-binding protein yjjK	sp|P0A9W3|YJJK_ECOLI	62 kDa		9
"Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1"	sp|Q54VA2|FUMH_DICDI	53 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205220 PE=4 SV=1	tr|Q54VB5|Q54VB5_DICDI	200 kDa	TRUE	6
PTS system mannitol-specific EIICBA comp	sp|P00550|PTM3C_ECOLI	68 kDa		10
Outer membrane protein assembly factor y	sp|P0A940|YAET_ECOLI	91 kDa		9
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		10
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		11
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa		8
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	sp|P42528|ARP3_DICDI	47 kDa		10
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		9
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		7
Acriflavine resistance protein A precurs	sp|P0AE06|ACRA_ECOLI	42 kDa	TRUE	9
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56 kDa		9
Adenosine kinase OS=Dictyostelium discoideum GN=adk PE=3 SV=2	sp|Q54MB5|ADK_DICDI	37 kDa		6
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa		9
Bifunctional purine biosynthetic protein purD OS=Dictyostelium discoideum GN=purD PE=1 SV=1	sp|Q54GJ2|PUR2_DICDI	88 kDa	TRUE	8
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114 kDa	TRUE	4
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		9
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		4
Dihydrolipoyllysine-residue succinyltran	sp|P0AFG6|ODO2_ECOLI	44 kDa		7
Exportin-1 OS=Dictyostelium discoideum GN=xpo1 PE=3 SV=2	sp|Q54EV7|XPO1_DICDI	122 kDa	TRUE	7
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa		7
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		8
"Aspartate aminotransferase, cytoplasmic OS=Dictyostelium discoideum GN=aatB PE=3 SV=1"	sp|Q54SF7|AATC_DICDI	49 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI	52 kDa		5
Putative uncharacterized protein mon2 OS=Dictyostelium discoideum GN=mon2 PE=4 SV=1	tr|Q55BA7|Q55BA7_DICDI	211 kDa	TRUE	8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216167 PE=4 SV=1	tr|Q54FZ7|Q54FZ7_DICDI	654 kDa	TRUE	4
Transcription termination factor rho (EC	sp|P0AG30|RHO_ECOLI	47 kDa	TRUE	7
Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI	270 kDa	TRUE	8
Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI	135 kDa	TRUE	5
26S protease regulatory subunit 8 OS=Dictyostelium discoideum GN=psmC5 PE=1 SV=2	sp|P34124|PRS8_DICDI	45 kDa	TRUE	9
PTS system mannose-specific EIIAB compon	sp|P69797|PTNAB_ECOLI	35 kDa		4
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=rvb1 PE=4 SV=1	tr|Q54C28|Q54C28_DICDI	57 kDa	TRUE	8
ATP-dependent protease hslV (EC 3.4.25.-	sp|P0A7B8|HSLV_ECOLI	19 kDa	TRUE	9
Dihydroxy-acid dehydratase (EC 4.2.1.9)	sp|P05791|ILVD_ECOLI	65 kDa		8
Sec1-like family protein OS=Dictyostelium discoideum GN=vps33 PE=4 SV=1	tr|Q54F53|Q54F53_DICDI	73 kDa		5
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		9
AP-1 complex subunit gamma OS=Dictyostelium discoideum GN=ap1g1 PE=1 SV=1	sp|Q8I8U2|AP1G_DICDI	100 kDa		7
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		8
"Lysyl-tRNA synthetase, heat inducible (E"	sp|P0A8N5|SYK2_ECOLI	58 kDa	TRUE	5
F-actin-capping protein subunit alpha OS=Dictyostelium discoideum GN=acpB PE=1 SV=1	sp|P13022|CAPZA_DICDI	31 kDa	TRUE	9
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		9
Cystathionine gamma-lyase OS=Dictyostelium discoideum GN=cysA PE=2 SV=1	sp|Q55DV9|CGL_DICDI	42 kDa	TRUE	9
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		7
60S ribosomal protein L22 1 OS=Dictyostelium discoideum GN=rpl22 PE=3 SV=1	sp|Q54JE3|RL221_DICDI	13 kDa		8
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa		9
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		7
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		8
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		7
Cytochrome d ubiquinol oxidase subunit I	sp|P0ABJ9|CYDA_ECOLI	58 kDa		6
DNA polymerase I (EC 2.7.7.7) (POL I).	sp|P00582|DPO1_ECOLI	103 kDa		5
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa	TRUE	9
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		8
50S ribosomal protein L17.	sp|P0AG44|RL17_ECOLI	14 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa	TRUE	6
CTP synthase (EC 6.3.4.2) (UTP--ammonia	sp|P0A7E5|PYRG_ECOLI	60 kDa	TRUE	4
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1"	sp|Q54VG0|DHTK1_DICDI	102 kDa	TRUE	6
Calreticulin OS=Dictyostelium discoideum GN=crtA PE=1 SV=3	sp|Q23858|CALR_DICDI	48 kDa		7
Leucyl-tRNA synthetase (EC 6.1.1.4) (Leu	sp|P07813|SYL_ECOLI	97 kDa		6
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		10
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		7
