Identified Proteins (337)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasG_PO_ms2
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		2
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		3
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94 kDa	TRUE	0
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa		2
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI (+1)	29 kDa		3
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa	TRUE	3
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa	TRUE	3
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		5
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		5
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa	TRUE	4
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		4
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa		1
Carbamoyl-phosphate synthase large chain	sp|P00968|CARB_ECOLI	118 kDa	TRUE	1
ATP-dependent protease hslV (EC 3.4.25.-	sp|P0A7B8|HSLV_ECOLI	19 kDa		2
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89 kDa		3
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=rnf160 PE=4 SV=1	tr|Q555H8|Q555H8_DICDI	213 kDa		4
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		1
Hisactophilin-1 OS=Dictyostelium discoideum GN=hatA PE=1 SV=3	sp|P13231|HATA_DICDI	13 kDa		1
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa		4
Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI	83 kDa		3
Septum site-determining protein minD (Ce	sp|P0AEZ3|MIND_ECOLI	29 kDa		3
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		2
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		2
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa		2
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		3
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		3
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		2
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa		2
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51 kDa		2
50S ribosomal protein L7/L12 (L8).	sp|P0A7K2|RL7_ECOLI	12 kDa		2
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		1
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		2
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		1
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa		2
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa		1
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa	TRUE	5
Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI	99 kDa		3
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		1
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		2
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa		2
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289047 PE=3 SV=1	tr|Q54I27|Q54I27_DICDI	89 kDa	TRUE	6
Putative uncharacterized protein DDB_G0288137 OS=Dictyostelium discoideum GN=DDB_G0288137 PE=4 SV=1	sp|Q54JD2|Y8137_DICDI	36 kDa	TRUE	2
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa		3
ATP synthase delta chain (EC 3.6.3.14).	sp|P0ABA4|ATPD_ECOLI	19 kDa		0
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa		1
D-lactate dehydrogenase (EC 1.1.1.28) (D	sp|P52643|LDHD_ECOLI	37 kDa		1
"Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1"	sp|Q553V2|MCEE_DICDI	18 kDa		2
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	3
Transketolase 1 (EC 2.2.1.1) (TK 1).	sp|P27302|TKT1_ECOLI	72 kDa	TRUE	0
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		2
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa		3
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		2
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		2
50S ribosomal protein L18.	sp|P0C018|RL18_ECOLI	13 kDa		2
Methionyl-tRNA synthetase (EC 6.1.1.10)	sp|P00959|SYM_ECOLI	76 kDa		1
Dynamin-like protein A OS=Dictyostelium discoideum GN=dlpA PE=2 SV=1	sp|Q55F94|DLPA_DICDI (+1)	100 kDa		1
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202577 PE=4 SV=1	tr|Q553T2|Q553T2_DICDI	76 kDa		4
DNA protection during starvation protein	sp|P0ABT2|DPS_ECOLI	19 kDa		4
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa		3
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		3
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48 kDa		2
Catabolite gene activator (cAMP receptor	sp|P0ACJ8|CRP_ECOLI	24 kDa		1
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		1
GTP-binding protein lepA.	sp|P60785|LEPA_ECOLI	67 kDa		1
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		2
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		2
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa		2
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		2
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		2
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		2
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		1
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		1
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa		2
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa		3
Probable ABC transporter ATP-binding pro	sp|P0A9V1|YHBG_ECOLI	27 kDa		1
Phosphoenolpyruvate-protein phosphotrans	sp|P08839|PT1_ECOLI	64 kDa		1
Phenylalanyl-tRNA synthetase alpha chain	sp|P08312|SYFA_ECOLI	37 kDa		2
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		2
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa		1
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa		1
Transketolase 2 (EC 2.2.1.1) (TK 2).	sp|P33570|TKT2_ECOLI	73 kDa	TRUE	0
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	2
Putative uncharacterized protein HBS1 OS=Dictyostelium discoideum GN=HBS1 PE=4 SV=1	tr|Q54QJ0|Q54QJ0_DICDI	82 kDa		2
Nitrogen regulatory protein (Enzyme IIA-	sp|P69829|PTSN_ECOLI	18 kDa		2
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa		3
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa	TRUE	3
Outer membrane protein assembly factor y	sp|P0A940|YAET_ECOLI	91 kDa		2
Cytoplasmic dynein 1 light intermediate chain 1 OS=Dictyostelium discoideum GN=dync1li1 PE=3 SV=1	sp|Q54CI8|DC1L1_DICDI	57 kDa		0
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa		0
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa	TRUE	3
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		3
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		2
Purine nucleoside phosphorylase deoD-typ	sp|P0ABP8|DEOD_ECOLI	26 kDa		1
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		1
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191736 PE=4 SV=1	tr|Q54CD7|Q54CD7_DICDI	35 kDa		2
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa		2
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		1
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		2
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa		1
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		1
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa		1
26S protease regulatory subunit 4 homolog OS=Dictyostelium discoideum GN=psmC1 PE=1 SV=1	sp|Q55BV5|PRS4_DICDI	49 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		0
Flavohemoprotein A OS=Dictyostelium discoideum GN=fhbA PE=2 SV=1	sp|Q9UAG7|FHBA_DICDI	44 kDa		3
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1"	sp|Q75JR2|IDHP_DICDI	48 kDa	TRUE	3
50S ribosomal protein L20.	sp|P0A7L3|RL20_ECOLI	13 kDa		2
Delta-aminolevulinic acid dehydratase (E	sp|P0ACB2|HEM2_ECOLI	35 kDa		2
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		0
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa		2
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		3
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		3
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa		0
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30 kDa		2
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI	95 kDa		3
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72 kDa	TRUE	2
50S ribosomal protein L13.	sp|P0AA10|RL13_ECOLI	16 kDa		0
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		0
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=4 SV=1	tr|Q55C60|Q55C60_DICDI (+1)	29 kDa		2
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169405 PE=4 SV=2	tr|Q86AD3|Q86AD3_DICDI	64 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188514 PE=4 SV=1	tr|Q54H66|Q54H66_DICDI	10 kDa		0
Reticulon family protein OS=Dictyostelium discoideum GN=rtnlc PE=4 SV=1	tr|Q54CA6|Q54CA6_DICDI	35 kDa		2
Methylenetetrahydrofolate reductase OS=Dictyostelium discoideum GN=DDB_G0279137 PE=3 SV=1	tr|Q54X84|Q54X84_DICDI	70 kDa		2
60S acidic ribosomal protein P2 OS=Dictyostelium discoideum GN=rplp2 PE=1 SV=3	sp|P22683|RLA2_DICDI	11 kDa	TRUE	3
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188327 PE=4 SV=1	tr|Q54HT2|Q54HT2_DICDI (+4)	99 kDa		1
