Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa	TRUE	19
Bifunctional purine biosynthetic protein purD OS=Dictyostelium discoideum GN=purD PE=1 SV=1	sp|Q54GJ2|PUR2_DICDI	88 kDa		25
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa		23
DNA-directed RNA polymerase beta' chain	sp|P0A8T7|RPOC_ECOLI	155 kDa		20
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa		22
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa		23
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		23
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	sp|P42528|ARP3_DICDI	47 kDa		24
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51 kDa		22
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	35
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=1 SV=2	sp|P34113|RL3_DICDI	45 kDa		17
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa		15
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa	TRUE	25
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa		14
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa		21
60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI	16 kDa		23
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa		19
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa		23
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa		24
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa		24
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		21
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194 kDa		20
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa	TRUE	22
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		18
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1"	sp|Q869Z4|PCKGM_DICDI	72 kDa		23
2-oxoglutarate dehydrogenase E1 componen	sp|P0AFG3|ODO1_ECOLI	105 kDa		21
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		20
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa	TRUE	20
"Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1"	sp|Q9GRX6|AIFM1_DICDI	60 kDa		22
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		24
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		21
"ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1"	sp|Q9XPJ9|ATPAM_DICDI	57 kDa	TRUE	19
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI	246 kDa		22
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa	TRUE	22
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa		15
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI	38 kDa		19
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275459 PE=4 SV=1	tr|Q75K16|Q75K16_DICDI	32 kDa		22
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		24
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa		21
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		19
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa		20
Ubiquitin OS=Dictyostelium discoideum GN=ubqA PE=1 SV=1	sp|P08618|UBIQ_DICDI	9 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	38
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa	TRUE	19
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa		19
Probable polyketide synthase 45 OS=Dictyostelium discoideum GN=pks45 PE=3 SV=1	sp|Q54B49|PKS45_DICDI	350 kDa		21
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66 kDa		18
Alpha/beta hydrolase fold-3 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0189182 PE=4 SV=1	tr|Q54FB4|Q54FB4_DICDI	39 kDa		20
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa		19
Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1	sp|Q54JI7|HUTH_DICDI	59 kDa		20
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa		22
Coactosin OS=Dictyostelium discoideum GN=coaA PE=1 SV=1	sp|P34121|COAA_DICDI	16 kDa		20
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa		20
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		22
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI	84 kDa		22
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa		24
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		12
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa		15
Peptidoglycan-associated lipoprotein pre	sp|P0A912|PAL_ECOLI	19 kDa		19
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI	268 kDa		19
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa		19
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI	61 kDa		21
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	22
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		17
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		19
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa		13
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa		16
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		20
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		20
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		20
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		21
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa		21
DNA-directed RNA polymerase beta chain (	sp|P0A8V2|RPOB_ECOLI	151 kDa		16
Probable UDP-glucose:glycoprotein glucosyltransferase A OS=Dictyostelium discoideum GN=ggtA PE=1 SV=2	sp|Q8T191|UGGG_DICDI	193 kDa	TRUE	14
Calcium up-regulated protein F OS=Dictyostelium discoideum GN=cupF PE=2 SV=2	sp|Q7Z1I0|CUPF_DICDI	85 kDa	TRUE	19
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39 kDa		19
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa	TRUE	16
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	16
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		16
Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI	41 kDa		16
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa	TRUE	16
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		16
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		16
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa	TRUE	18
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		19
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa		18
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa	TRUE	15
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa		18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa	TRUE	16
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38 kDa		18
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		15
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa		19
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		14
30S ribosomal protein S6 [Contains: 30S	sp|P02358|RS6_ECOLI	16 kDa		17
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		15
"Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1"	sp|Q8I0H7|HSP7M_DICDI	71 kDa		17
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa	TRUE	16
Putative thioredoxin-5 OS=Dictyostelium discoideum GN=trxE PE=3 SV=1	sp|Q54KN7|THIO5_DICDI	12 kDa		18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189501 PE=1 SV=1	tr|Q55GC0|Q55GC0_DICDI	33 kDa		13
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		14
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		17
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169400 PE=4 SV=1	tr|Q86KR5|Q86KR5_DICDI	14 kDa	TRUE	18
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa	TRUE	10
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa	TRUE	16
50S ribosomal protein L13.	sp|P0AA10|RL13_ECOLI	16 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa	TRUE	14
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		9
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	15
60S ribosomal protein L22 2 OS=Dictyostelium discoideum GN=rpl22a PE=3 SV=1	sp|Q54GK6|RL222_DICDI	13 kDa	TRUE	16
60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI	24 kDa		10
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	18
Putative calpain-like cysteine protease A OS=Dictyostelium discoideum GN=cplA PE=1 SV=1	sp|Q8MUF9|CPLA_DICDI	73 kDa		13
50S ribosomal protein L17.	sp|P0AG44|RL17_ECOLI	14 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		17
"Glutathione-dependent formaldehyde-activating, GFA family protein OS=Dictyostelium discoideum GN=DDB_0205205 PE=4 SV=1"	tr|Q54VC9|Q54VC9_DICDI	17 kDa		15
50S ribosomal protein L19.	sp|P0A7K6|RL19_ECOLI	13 kDa	TRUE	10
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43 kDa		14
60S ribosomal protein L32 OS=Dictyostelium discoideum GN=rpl32 PE=3 SV=1	sp|Q55AB5|RL32_DICDI	15 kDa		15
D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	sp|Q54UH8|SERA_DICDI	45 kDa		14
Vacuolar protein sorting-associated protein 29 OS=Dictyostelium discoideum GN=vps29 PE=3 SV=1	sp|Q54IF7|VPS29_DICDI	20 kDa		15
30S ribosomal protein S13.	sp|P0A7S9|RS13_ECOLI	13 kDa		11
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		13
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		14
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa		14
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		15
50S ribosomal protein L22.	sp|P61175|RL22_ECOLI	12 kDa		15
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		14
"Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1"	sp|Q54VA2|FUMH_DICDI	53 kDa		12
"Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1"	sp|Q54JD9|SCOT_DICDI	55 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52 kDa		12
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168980 PE=4 SV=1	tr|Q86B07|Q86B07_DICDI	64 kDa		15
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa		13
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa	TRUE	13
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85 kDa		16
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205566 PE=4 SV=1	tr|Q54U01|Q54U01_DICDI	93 kDa		13
Nascent polypeptide-associated complex subunit alpha OS=Dictyostelium discoideum GN=nacA PE=3 SV=1	sp|Q54U07|NACA_DICDI	17 kDa		12
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		14
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	sp|Q86A85|PUR1_DICDI	57 kDa		13
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa	TRUE	13
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa		13
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI (+1)	61 kDa	TRUE	10
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		13
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114 kDa	TRUE	13
30S ribosomal protein S11.	sp|P0A7R9|RS11_ECOLI	14 kDa		14
Comitin OS=Dictyostelium discoideum GN=comA PE=1 SV=1	sp|Q03380|COMI_DICDI	21 kDa		12
50S ribosomal protein L24.	sp|P60624|RL24_ECOLI	11 kDa		13
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa		13
5-oxoprolinase OS=Dictyostelium discoideum GN=oplah PE=3 SV=2	sp|Q54NW6|OPLA_DICDI	139 kDa	TRUE	11
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa		15
Phox domain-containing protein OS=Dictyostelium discoideum GN=vps5 PE=1 SV=1	tr|Q86IF6|Q86IF6_DICDI	62 kDa		8
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa		13
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa		10
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		15
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		12
60S ribosomal protein L35 OS=Dictyostelium discoideum GN=rpl35 PE=3 SV=1	sp|Q54J23|RL35_DICDI	14 kDa		10
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14 kDa		11
"Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1"	sp|Q553V2|MCEE_DICDI	18 kDa		7
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa		13
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20 kDa	TRUE	6
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		10
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa	TRUE	11
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16 kDa		9
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	sp|Q94502|GANAB_DICDI	109 kDa		11
Thioredoxin-2 (Fragment) OS=Dictyostelium discoideum GN=trxB PE=3 SV=1	sp|P29446|THIO2_DICDI	10 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI	44 kDa		10
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa		11
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa		11
Cysteine proteinase 4 OS=Dictyostelium discoideum GN=cprD PE=2 SV=2	sp|P54639|CYSP4_DICDI	46 kDa	TRUE	15
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22 kDa		11
von Willebrand factor A domain-containing protein DDB_G0286969 OS=Dictyostelium discoideum GN=DDB_G0286969 PE=4 SV=1	sp|C7G046|Y6969_DICDI	228 kDa	TRUE	12
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		10
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		13
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		12
Phosphatidylinositol transfer protein 1 OS=Dictyostelium discoideum GN=pitA PE=1 SV=1	sp|Q9NCL8|PITP1_DICDI	31 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	tr|Q54CF7|Q54CF7_DICDI	55 kDa		7
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		13
"Glutathione-dependent formaldehyde-activating, GFA family protein OS=Dictyostelium discoideum GN=DDB_G0291800 PE=4 SV=1"	tr|B0G191|B0G191_DICDI	15 kDa		10
Triosephosphate isomerase OS=Dictyostelium discoideum GN=tpiA PE=3 SV=1	sp|Q869R8|TPIS_DICDI	28 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		8
30S ribosomal protein S8.	sp|P0A7W7|RS8_ECOLI	14 kDa		12
Talin-B OS=Dictyostelium discoideum GN=talB PE=2 SV=1	sp|Q54K81|TALB_DICDI	278 kDa		7
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51 kDa		9
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1"	sp|Q54VG0|DHTK1_DICDI	102 kDa	TRUE	11
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa		11
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa		8
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa	TRUE	10
Ketol-acid reductoisomerase (EC 1.1.1.86	sp|P05793|ILVC_ECOLI	54 kDa		5
Xanthine dehydrogenase OS=Dictyostelium discoideum GN=xdh PE=3 SV=1	sp|Q54FB7|XDH_DICDI	150 kDa		9
