Identified Proteins (1228)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa		36
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa		36
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI	38 kDa	TRUE	22
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43 kDa		18
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa	TRUE	33
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa		33
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa		47
"Glycine dehydrogenase [decarboxylating], mitochondrial OS=Dictyostelium discoideum GN=gcvP PE=3 SV=1"	sp|Q54KM7|GCSP_DICDI	110 kDa	TRUE	28
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		39
Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI	31 kDa	TRUE	35
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa		35
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		41
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		34
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65 kDa		34
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		27
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		33
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		27
"Sulfide:quinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=sqrdl PE=3 SV=1"	sp|Q54DK1|SQRD_DICDI	50 kDa	TRUE	31
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa	TRUE	15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		22
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		31
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		0
CTP synthase OS=Dictyostelium discoideum GN=ctps PE=3 SV=1	sp|Q54V77|PYRG_DICDI	63 kDa		28
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa	TRUE	17
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57 kDa	TRUE	10
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI	84 kDa		28
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa	TRUE	9
Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum GN=vatM PE=1 SV=2	sp|Q54E04|VATM_DICDI	93 kDa		19
60S ribosomal protein L3 OS=Dictyostelium discoideum GN=rpl3 PE=1 SV=2	sp|P34113|RL3_DICDI	45 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		38
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa	TRUE	30
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44 kDa		14
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28 kDa		17
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		42
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa	TRUE	34
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184177 PE=4 SV=1	tr|Q54DU0|Q54DU0_DICDI	49 kDa		0
"Elongation factor Tu, mitochondrial OS=Dictyostelium discoideum GN=tufm PE=1 SV=2"	sp|Q54HB2|EFTU_DICDI	46 kDa	TRUE	8
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa		16
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	sp|Q34312|NDUS1_DICDI	80 kDa		22
"Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1"	sp|Q9GRX6|AIFM1_DICDI	60 kDa		28
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa		0
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa		17
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		23
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	sp|P34098|MANA_DICDI	113 kDa		29
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa		32
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa		15
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa	TRUE	0
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88 kDa		35
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		11
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa		6
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275459 PE=4 SV=1	tr|Q75K16|Q75K16_DICDI	32 kDa		25
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188270 PE=3 SV=1	tr|Q54HZ2|Q54HZ2_DICDI	32 kDa	TRUE	29
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		24
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa		15
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		14
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	15
Actin-3 OS=Dictyostelium discoideum GN=act3 PE=3 SV=3	sp|P07829|ACT3_DICDI	42 kDa	TRUE	349
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	sp|P34036|DYHC_DICDI	540 kDa		5
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		17
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		26
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		25
Glycoside hydrolase family 63 protein OS=Dictyostelium discoideum GN=DDB_0206405 PE=4 SV=1	tr|Q54VT5|Q54VT5_DICDI	100 kDa		5
Protein P80 OS=Dictyostelium discoideum GN=p80 PE=2 SV=1	sp|Q7YXD4|P80_DICDI	58 kDa		40
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		10
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		27
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	28
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa	TRUE	3
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		29
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35 kDa	TRUE	21
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa	TRUE	9
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa	TRUE	6
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa		18
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		17
GTP cyclohydrolase 1 OS=Dictyostelium discoideum GN=gchA PE=1 SV=2	sp|Q94465|GCH1_DICDI	26 kDa	TRUE	18
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		3
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		2
Probable UDP-glucose:glycoprotein glucosyltransferase A OS=Dictyostelium discoideum GN=ggtA PE=1 SV=2	sp|Q8T191|UGGG_DICDI	193 kDa	TRUE	17
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191770 PE=4 SV=1	tr|Q54CA5|Q54CA5_DICDI	231 kDa	TRUE	0
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		15
Probable glutaminyl-tRNA synthetase OS=Dictyostelium discoideum GN=glnS PE=2 SV=2	sp|P14325|SYQ_DICDI	88 kDa		16
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56 kDa		5
cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI (+1)	35 kDa	TRUE	19
Eukaryotic translation initiation factor 3 subunit M OS=Dictyostelium discoideum GN=eif3m PE=1 SV=1	sp|Q54KZ8|EIF3M_DICDI	47 kDa		30
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	15
Copine-E OS=Dictyostelium discoideum GN=cpnE PE=2 SV=1	sp|Q54FY7|CPNE_DICDI	64 kDa	TRUE	25
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		0
Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI	41 kDa		6
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	23
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1"	sp|Q869S7|SUCB2_DICDI	46 kDa		22
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		24
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		0
Flavohemoprotein A OS=Dictyostelium discoideum GN=fhbA PE=2 SV=1	sp|Q9UAG7|FHBA_DICDI	44 kDa		0
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa		6
Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1	sp|Q54JI7|HUTH_DICDI	59 kDa		31
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa	TRUE	21
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa	TRUE	21
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		26
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		11
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa		11
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	sp|Q54E83|GSHB_DICDI	54 kDa		8
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39 kDa	TRUE	17
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		21
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa		0
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI	268 kDa	TRUE	16
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa	TRUE	15
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa	TRUE	4
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51 kDa		23
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		26
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa		16
Discoidin-1 subunit D OS=Dictyostelium discoideum GN=dscD-1 PE=1 SV=2	sp|P02888|DIS1D_DICDI	28 kDa	TRUE	0
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		15
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		15
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa		18
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa	TRUE	18
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa		20
Putative uncharacterized protein adprt3 OS=Dictyostelium discoideum GN=adprt3 PE=4 SV=1	tr|Q54E42|Q54E42_DICDI (+1)	284 kDa	TRUE	13
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa		0
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa	TRUE	22
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa	TRUE	20
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		9
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa	TRUE	10
Beta-ureidopropionase OS=Dictyostelium discoideum GN=pyd3 PE=1 SV=1	sp|Q964D8|BUP1_DICDI	44 kDa		13
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa	TRUE	5
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa		4
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa		16
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		8
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		14
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI	54 kDa	TRUE	19
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34 kDa		18
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	sp|Q8T137|GSHR_DICDI	50 kDa		18
Aminoacylase-1 OS=Dictyostelium discoideum GN=acy1 PE=2 SV=1	sp|Q55DP8|ACY1_DICDI	47 kDa		13
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa		30
Methylenetetrahydrofolate dehydrogenase [NAD+] OS=Dictyostelium discoideum GN=thfA PE=3 SV=1	sp|Q86KU6|MTD1_DICDI	35 kDa		13
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		20
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa		25
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa	TRUE	17
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		13
Calcium up-regulated protein F OS=Dictyostelium discoideum GN=cupF PE=2 SV=2	sp|Q7Z1I0|CUPF_DICDI	85 kDa	TRUE	20
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		8
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		16
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		14
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa		26
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		25
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa		23
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa		2
Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1	sp|Q1ZXQ1|FAAA_DICDI	47 kDa		19
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=pdhC PE=2 SV=2"	sp|P36413|ODP2_DICDI	69 kDa	TRUE	7
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa		14
Senescence marker protein-30 family protein OS=Dictyostelium discoideum GN=rgn PE=4 SV=1	tr|Q54ZP3|Q54ZP3_DICDI	36 kDa		18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168585 PE=4 SV=1	tr|Q86AH5|Q86AH5_DICDI	62 kDa		28
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		16
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	sp|Q54N49|INO1_DICDI	57 kDa		22
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa		3
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		20
Uncharacterized protein DDB_G0279527 OS=Dictyostelium discoideum GN=DDB_G0279527 PE=1 SV=1	sp|Q54WN8|Y7952_DICDI	144 kDa	TRUE	0
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	sp|Q94502|GANAB_DICDI	109 kDa		21
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		15
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1"	sp|Q869Z4|PCKGM_DICDI	72 kDa		11
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		20
Triosephosphate isomerase OS=Dictyostelium discoideum GN=tpiA PE=3 SV=1	sp|Q869R8|TPIS_DICDI	28 kDa		20
Peroxisomal multifunctional enzyme A OS=Dictyostelium discoideum GN=mfeA PE=2 SV=1	sp|Q9NKW1|MFEA_DICDI	46 kDa		17
Ran-specific GTPase-activating protein homolog OS=Dictyostelium discoideum GN=ranbp1 PE=1 SV=1	sp|Q54KD9|RANG_DICDI	22 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185931 PE=4 SV=1	tr|Q54PW3|Q54PW3_DICDI	106 kDa		13
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa	TRUE	6
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		18
"Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1"	sp|Q1ZXF1|ECHM_DICDI	30 kDa		19
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		0
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa	TRUE	14
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa	TRUE	13
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	tr|Q54MF0|Q54MF0_DICDI	118 kDa		15
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0167345 PE=3 SV=1	tr|Q869L6|Q869L6_DICDI	32 kDa	TRUE	12
Putative calpain-like cysteine protease A OS=Dictyostelium discoideum GN=cplA PE=1 SV=1	sp|Q8MUF9|CPLA_DICDI	73 kDa		16
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		22
