Identified Proteins (808)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasB
Small heat shock protein hspK OS=Dictyostelium discoideum GN=hspK PE=3 SV=1	sp|Q86H60|HSPK_DICDI	20 kDa		8
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa		12
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		11
GTP-binding protein lepA.	sp|P60785|LEPA_ECOLI	67 kDa		10
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa		10
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18 kDa		9
DNA gyrase subunit A (EC 5.99.1.3).	sp|P0AES4|GYRA_ECOLI	97 kDa		9
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		13
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa		11
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98 kDa	TRUE	11
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		10
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI	54 kDa	TRUE	7
"Elongation factor Tu, mitochondrial OS=Dictyostelium discoideum GN=tufm PE=1 SV=2"	sp|Q54HB2|EFTU_DICDI	46 kDa	TRUE	12
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa		9
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa		8
2-oxoglutarate dehydrogenase E1 componen	sp|P0AFG3|ODO1_ECOLI	105 kDa		9
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		10
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23 kDa		12
Prolyl-tRNA synthetase (EC 6.1.1.15) (Pr	sp|P16659|SYP_ECOLI	64 kDa		9
Myosin IE heavy chain OS=Dictyostelium discoideum GN=myoE PE=1 SV=2	sp|Q03479|MYOE_DICDI	115 kDa	TRUE	10
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		5
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa		13
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51 kDa		6
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		12
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	7
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		10
Putative tagatose 6-phosphate kinase gat	sp|P37191|GATZ_ECOLI	47 kDa		5
Threonyl-tRNA synthetase (EC 6.1.1.3) (T	sp|P0A8M3|SYT_ECOLI	74 kDa		13
Transcription elongation protein nusA (N	sp|P0AFF6|NUSA_ECOLI	55 kDa		8
Galactitol-1-phosphate 5-dehydrogenase (	sp|P0A9S3|GATD_ECOLI	37 kDa		13
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		9
"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Dictyostelium discoideum GN=mmsdh PE=3 SV=1"	sp|Q54I10|MMSA_DICDI	57 kDa		12
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI	69 kDa		8
30S ribosomal protein S2.	sp|P0A7V0|RS2_ECOLI	27 kDa		8
Cell division protein ftsH (EC 3.4.24.-)	sp|P0AAI3|FTSH_ECOLI	71 kDa		4
Succinyl-CoA synthetase beta chain (EC 6	sp|P0A836|SUCC_ECOLI	41 kDa		12
Delta(14)-sterol reductase OS=Dictyostelium discoideum GN=erg24 PE=3 SV=1	sp|Q54PP1|ERG24_DICDI	54 kDa		11
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0286669 PE=4 SV=2	tr|Q54LF1|Q54LF1_DICDI	75 kDa		10
Protein disulfide-isomerase 2 OS=Dictyostelium discoideum GN=pdi2 PE=3 SV=1	sp|Q54EN4|PDI2_DICDI	58 kDa	TRUE	7
"60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1"	sp|Q54J97|CH60_DICDI	60 kDa		13
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa		7
Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI	99 kDa		11
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa		2
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	6
D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	sp|Q54UH8|SERA_DICDI	45 kDa		10
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa		10
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39 kDa		11
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa	TRUE	9
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa	TRUE	12
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		9
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI	95 kDa		10
Coatomer subunit alpha OS=Dictyostelium discoideum GN=copa PE=3 SV=1	sp|Q55FR9|COPA_DICDI	139 kDa		6
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=4 SV=1	tr|Q8T6B8|Q8T6B8_DICDI	80 kDa		3
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		11
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59 kDa		7
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa		4
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa	TRUE	8
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59 kDa		11
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa		6
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	sp|P00962|SYQ_ECOLI	63 kDa		3
Bifunctional polymyxin resistance arnA p	sp|P77398|ARNA_ECOLI	74 kDa		11
Pyruvate kinase OS=Dictyostelium discoideum GN=pyk PE=3 SV=1	sp|Q54RF5|KPYK_DICDI	55 kDa	TRUE	11
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa		13
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		11
AP-1 complex subunit gamma OS=Dictyostelium discoideum GN=ap1g1 PE=1 SV=1	sp|Q8I8U2|AP1G_DICDI	100 kDa	TRUE	5
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa		11
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		6
Phosphoserine aminotransferase (EC 2.6.1	sp|P23721|SERC_ECOLI	40 kDa	TRUE	9
Asparaginyl-tRNA synthetase (EC 6.1.1.22	sp|P0A8M0|SYN_ECOLI	52 kDa		11
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa		9
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa		8
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		10
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		7
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		11
ATP-dependent protease hslV (EC 3.4.25.-	sp|P0A7B8|HSLV_ECOLI	19 kDa		4
Probable cytoplasmic aconitate hydratase OS=Dictyostelium discoideum GN=aco1 PE=3 SV=1	sp|Q54X73|ACOC_DICDI	98 kDa	TRUE	8
Exoribonuclease II (EC 3.1.13.1) (Ribonu	sp|P30850|RNB_ECOLI	72 kDa		10
Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI	45 kDa		10
Ketol-acid reductoisomerase (EC 1.1.1.86	sp|P05793|ILVC_ECOLI	54 kDa		10
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa		4
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		8
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		7
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		12
Neurofibromin-A OS=Dictyostelium discoideum GN=nfaA PE=4 SV=1	sp|Q55AR6|NFAA_DICDI	104 kDa	TRUE	8
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa		10
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189501 PE=1 SV=1	tr|Q55GC0|Q55GC0_DICDI	33 kDa		7
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63 kDa		12
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		8
Seryl-tRNA synthetase (EC 6.1.1.11) (Ser	sp|P0A8L1|SYS_ECOLI	48 kDa		8
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		11
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa		10
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		9
Pyruvate kinase II (EC 2.7.1.40) (PK-2).	sp|P21599|KPYK2_ECOLI	51 kDa		10
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa		8
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	2
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56 kDa		5
Protein ygfZ.	sp|P0ADE8|YGFZ_ECOLI	36 kDa		8
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa		8
GTP-binding protein typA/BipA (Tyrosine	sp|P32132|TYPA_ECOLI	67 kDa		7
Adenylosuccinate synthetase (EC 6.3.4.4)	sp|P0A7D4|PURA_ECOLI	47 kDa		7
Peptidoglycan-associated lipoprotein pre	sp|P0A912|PAL_ECOLI	19 kDa		10
DNA polymerase I (EC 2.7.7.7) (POL I).	sp|P00582|DPO1_ECOLI	103 kDa		7
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0186471 PE=1 SV=1	tr|Q54NB4|Q54NB4_DICDI	36 kDa		6
Valyl-tRNA synthetase (EC 6.1.1.9) (Vali	sp|P07118|SYV_ECOLI	108 kDa		7
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=pdhC PE=2 SV=2"	sp|P36413|ODP2_DICDI	69 kDa		10
Biotin carboxylase (EC 6.3.4.14) (A subu	sp|P24182|ACCC_ECOLI	49 kDa		3
"Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1"	sp|Q553V1|CISYM_DICDI	51 kDa		11
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	10
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		13
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		6
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa		7
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa		4
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63 kDa		8
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		9
Lysyl-tRNA synthetase (EC 6.1.1.6) (Lysi	sp|P0A8N3|SYK1_ECOLI	57 kDa	TRUE	3
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	10
Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI	56 kDa		7
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa		9
Lysine-sensitive aspartokinase III (EC 2	sp|P08660|AK3_ECOLI	49 kDa		4
ATP-dependent Clp protease ATP-binding s	sp|P0A6H1|CLPX_ECOLI	46 kDa		9
33 kDa chaperonin (Heat shock protein 33	sp|P0A6Y5|HSLO_ECOLI	33 kDa		7
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0169112 PE=1 SV=1	tr|Q86AQ3|Q86AQ3_DICDI	37 kDa	TRUE	7
Aspartate aminotransferase (EC 2.6.1.1)	sp|P00509|AAT_ECOLI	44 kDa		7
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa		3
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55 kDa		7
Single-strand binding protein (SSB) (Hel	sp|P0AGE0|SSB_ECOLI	19 kDa		6
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		11
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188759 PE=4 SV=1	tr|Q54GG6|Q54GG6_DICDI	41 kDa		9
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa		7
ATP-dependent Clp protease ATP-binding s	sp|P0ABH9|CLPA_ECOLI	84 kDa		10
Leucyl-tRNA synthetase (EC 6.1.1.4) (Leu	sp|P07813|SYL_ECOLI	97 kDa		7
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		6
Succinate dehydrogenase flavoprotein sub	sp|P0AC41|DHSA_ECOLI	64 kDa		7
"Aspartate aminotransferase, cytoplasmic OS=Dictyostelium discoideum GN=aatB PE=3 SV=1"	sp|Q54SF7|AATC_DICDI	49 kDa	TRUE	5
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa	TRUE	6
Alpha-galactosidase (EC 3.2.1.22) (Melib	sp|P06720|AGAL_ECOLI	51 kDa		6
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa		5
Aspartyl-tRNA synthetase (EC 6.1.1.12) (	sp|P21889|SYD_ECOLI	66 kDa		6
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		8
Aldose reductase A OS=Dictyostelium discoideum GN=alrA PE=2 SV=1	sp|Q6IMN8|ALRA_DICDI	34 kDa		8
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		4
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	sp|Q54N49|INO1_DICDI	57 kDa		4
"Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1"	sp|Q54VA2|FUMH_DICDI	53 kDa		4
Beta-ketoacyl synthase family protein OS=Dictyostelium discoideum GN=DDB_0184008 PE=4 SV=1	tr|Q54EB2|Q54EB2_DICDI	118 kDa		2
Threonine ammonia-lyase OS=Dictyostelium discoideum GN=DDB_G0277245 PE=4 SV=1	tr|Q86AP7|Q86AP7_DICDI	131 kDa		8
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51 kDa		5
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		5
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa		4
GTP cyclohydrolase 1 OS=Dictyostelium discoideum GN=gchA PE=1 SV=2	sp|Q94465|GCH1_DICDI	26 kDa		3
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa		3
6-phosphofructokinase isozyme 2 (EC 2.7.	sp|P06999|K6PF2_ECOLI	32 kDa		7
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa		5
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		7
Glucose-specific phosphotransferase enzy	sp|P69783|PTGA_ECOLI	18 kDa		9
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa		10
"6-phosphogluconate dehydrogenase, decarb"	sp|P00350|6PGD_ECOLI	51 kDa		6
Transcription antitermination protein nu	sp|P0AFG0|NUSG_ECOLI	20 kDa		7
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		9
Protein hflC (EC 3.4.-.-).	sp|P0ABC3|HFLC_ECOLI	38 kDa		6
Cysteine desulfurase (EC 2.8.1.7) (ThiI	sp|P0A6B7|ISCS_ECOLI	45 kDa		4
Alanyl-tRNA synthetase OS=Dictyostelium discoideum GN=alaS PE=2 SV=1	sp|Q54Y20|SYA_DICDI	106 kDa	TRUE	4
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa		5
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa	TRUE	6
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa		6
Glutamyl-tRNA synthetase (EC 6.1.1.17) (	sp|P04805|SYE_ECOLI	54 kDa	TRUE	5
Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum GN=vatM PE=1 SV=2	sp|Q54E04|VATM_DICDI	93 kDa		8
"Probable saccharopine dehydrogenase [NADP+, L-glutamate-forming] OS=Dictyostelium discoideum GN=sdh PE=2 SV=1"	sp|Q54NG9|SCPDH_DICDI	53 kDa		7
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa		6
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		8
Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI	41 kDa		3
Carbonic anhydrase OS=Dictyostelium discoideum GN=cahA PE=3 SV=1	tr|Q55BU2|Q55BU2_DICDI (+1)	31 kDa		2
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	7
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa		8
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		8
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		4
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		5
NADH-quinone oxidoreductase chain G (EC	sp|P33602|NUOG_ECOLI	100 kDa		5
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		8
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa		7
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa	TRUE	9
Penta-EF hand domain-containing protein 1 OS=Dictyostelium discoideum GN=pefA PE=1 SV=1	sp|Q95YL5|PEFA_DICDI	22 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268600 PE=1 SV=2	tr|Q55F82|Q55F82_DICDI	19 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40 kDa	TRUE	6
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		3
Vegetative-specific protein H5 OS=Dictyostelium discoideum GN=cinB PE=2 SV=2	sp|P14326|VSH5_DICDI (+2)	39 kDa	TRUE	3
Translation initiation factor IF-3 [Cont	sp|P0A707|IF3_ECOLI	21 kDa		8
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa	TRUE	5
RNA polymerase sigma factor rpoD (Sigma-	sp|P00579|RPOD_ECOLI	70 kDa		3
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		3
Peroxisomal acyl-coenzyme A oxidase 1 OS=Dictyostelium discoideum GN=acox1 PE=3 SV=1	sp|Q54GQ6|ACOX1_DICDI	80 kDa		4
Bifunctional purine biosynthetic protein purD OS=Dictyostelium discoideum GN=purD PE=1 SV=1	sp|Q54GJ2|PUR2_DICDI	88 kDa		5
Glucose-6-phosphate isomerase (EC 5.3.1.	sp|P0A6T1|G6PI_ECOLI	62 kDa	TRUE	4
Dihydroxy-acid dehydratase (EC 4.2.1.9)	sp|P05791|ILVD_ECOLI	65 kDa		11
Aspartate ammonia-lyase (EC 4.3.1.1) (As	sp|P0AC38|ASPA_ECOLI	52 kDa		5
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		5
