Identified Proteins (670)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galphai_AluFl
Outer membrane protein A OS=Escherichia coli GN=ompA PE=3 SV=1	tr|E2QJG1|E2QJG1_ECOLX	37 kDa		8
UDP-glucose 6-dehydrogenase OS=Escherichia coli GN=ugd PE=3 SV=1	tr|E2QNQ3|E2QNQ3_ECOLX	44 kDa		8
RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=4 SV=1	tr|E7ETR0|E7ETR0_HUMAN	35 kDa		10
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1"	tr|H0YIN9|H0YIN9_HUMAN (+1)	22 kDa		0
60 kDa chaperonin OS=Escherichia coli GN=mopA PE=2 SV=1	tr|Q548M1|Q548M1_ECOLX	57 kDa		2
Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens GN=HNRNPD PE=4 SV=1	tr|D6RAF8|D6RAF8_HUMAN (+7)	23 kDa		3
Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=3 SV=1	tr|G8JLD5|G8JLD5_HUMAN (+2)	80 kDa		0
Lactose operon repressor OS=Escherichia coli GN=lacI PE=4 SV=1	tr|E2QGA5|E2QGA5_ECOLX	39 kDa		3
Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=3 SV=1	tr|E9PBF6|E9PBF6_HUMAN (+2)	45 kDa	TRUE	8
40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=3 SV=1	tr|C9J9K3|C9J9K3_HUMAN (+5)	30 kDa		11
Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=3 SV=1	tr|E7EWW9|E7EWW9_HUMAN	28 kDa	TRUE	0
Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP1CA PE=3 SV=1	tr|A6NNR3|A6NNR3_HUMAN (+5)	33 kDa		3
"Protein disulfide isomerase family A, member 3, isoform CRA_b OS=Homo sapiens GN=PDIA3 PE=3 SV=1"	tr|G5EA52|G5EA52_HUMAN	55 kDa	TRUE	0
SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=2 SV=1	tr|B7Z6E8|B7Z6E8_HUMAN	44 kDa		9
Actin-related protein 2/3 complex subunit 3 (Fragment) OS=Homo sapiens GN=ARPC3 PE=4 SV=1	tr|C9JZD1|C9JZD1_HUMAN (+1)	12 kDa	TRUE	6
26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=4 SV=1	tr|C9IZE4|C9IZE4_HUMAN (+3)	52 kDa		4
Heat shock protein HSP 90-beta (Fragment) OS=Homo sapiens GN=HSP90AB1 PE=4 SV=1	tr|H0Y6E4|H0Y6E4_HUMAN	17 kDa		7
Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=3 SV=1	tr|F5H3I4|F5H3I4_HUMAN (+1)	35 kDa		5
Mucin-5B OS=Homo sapiens GN=MUC5B PE=4 SV=1	tr|E9PBJ0|E9PBJ0_HUMAN	597 kDa		0
DOCK10.2 OS=Homo sapiens GN=DOCK10.2 PE=2 SV=2	tr|B3FL70|B3FL70_HUMAN (+2)	249 kDa	TRUE	3
CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1 PE=4 SV=1	tr|F5H0N7|F5H0N7_HUMAN (+1)	116 kDa		8
Chromosome partition protein MukB OS=Escherichia coli GN=mukB PE=3 SV=1	tr|E2QJD5|E2QJD5_ECOLX	170 kDa		8
14-3-3 protein theta (Fragment) OS=Homo sapiens GN=YWHAQ PE=4 SV=1	tr|E9PG15|E9PG15_HUMAN (+1)	17 kDa	TRUE	7
SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=4 SV=1	tr|F5GZA8|F5GZA8_HUMAN	55 kDa		10
Glucose-6-phosphate isomerase OS=Escherichia coli GN=pgi PE=3 SV=1	tr|E2QJ55|E2QJ55_ECOLX	62 kDa		0
Signal recognition particle protein OS=Escherichia coli GN=ffh PE=3 SV=1	tr|C3SYN7|C3SYN7_ECOLX	50 kDa	TRUE	8
"Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli GN=zntA PE=3 SV=1"	tr|E2QFX3|E2QFX3_ECOLX	77 kDa		8
AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=2 SV=1	tr|B3KXW5|B3KXW5_HUMAN (+4)	94 kDa		10
MLL cleavage product C180 OS=Homo sapiens GN=MLL PE=4 SV=1	REVtr|E9PQG7|E9PQG7_HUMAN (+2)	432 kDa		0
Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=4 SV=1	tr|F5H564|F5H564_HUMAN (+1)	134 kDa		6
General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=4 SV=1	tr|F5GYR8|F5GYR8_HUMAN (+3)	109 kDa		3
Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=3 SV=1	tr|E9PRY8|E9PRY8_HUMAN (+22)	77 kDa		4
DNA gyrase subunit B OS=Escherichia coli GN=gyrB PE=3 SV=1	tr|C3SLN3|C3SLN3_ECOLX	90 kDa		5
Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=4 SV=1	tr|E9PBG7|E9PBG7_HUMAN (+2)	58 kDa		13
ALOX5 protein OS=Homo sapiens GN=ALOX5 PE=2 SV=1	tr|B7ZLS0|B7ZLS0_HUMAN	72 kDa		3
HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2	tr|A6NEM2|A6NEM2_HUMAN (+3)	213 kDa		7
Calponin-2 OS=Homo sapiens GN=CNN2 PE=2 SV=1	tr|B4DDF4|B4DDF4_HUMAN (+2)	33 kDa		9
Annexin OS=Homo sapiens GN=ANXA4 PE=2 SV=1	tr|B4DDF9|B4DDF9_HUMAN	27 kDa		7
AP-1 complex subunit beta-1 (Fragment) OS=Homo sapiens GN=AP1B1 PE=4 SV=1	tr|C9J1E7|C9J1E7_HUMAN	65 kDa	TRUE	7
30S ribosomal protein S3 OS=Escherichia coli GN=rpsC PE=3 SV=1	tr|C3SQX2|C3SQX2_ECOLX	26 kDa		5
"HCG2002594, isoform CRA_c OS=Homo sapiens GN=SEPT5 PE=3 SV=1"	tr|G3XAH0|G3XAH0_HUMAN (+4)	44 kDa		9
Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=2 SV=1	tr|B4DDM6|B4DDM6_HUMAN	28 kDa		8
Keratin-associated protein 2-1 OS=Homo sapiens GN=KRTAP2-1 PE=4 SV=1	tr|F5H1T9|F5H1T9_HUMAN (+1)	13 kDa		0
Ena/VASP-like protein OS=Homo sapiens GN=EVL PE=2 SV=1	tr|B7Z3I5|B7Z3I5_HUMAN	42 kDa		9
Alstrom syndrome protein 1 OS=Homo sapiens GN=ALMS1 PE=4 SV=1	REVtr|B8ZZJ3|B8ZZJ3_HUMAN (+1)	456 kDa	TRUE	0
"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=3 SV=1"	tr|F5H2F4|F5H2F4_HUMAN (+2)	111 kDa		5
D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli GN=epd PE=3 SV=1	tr|E2QDR1|E2QDR1_ECOLX	37 kDa	TRUE	7
Phosphoribosyl pyrophosphate synthetase 1 OS=Homo sapiens GN=PRPS1 PE=3 SV=1	tr|B1ALA9|B1ALA9_HUMAN (+1)	24 kDa		5
AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=4 SV=1	tr|E7ENJ6|E7ENJ6_HUMAN	43 kDa		5
Guanine nucleotide exchange factor DBS (Fragment) OS=Homo sapiens GN=MCF2L PE=4 SV=1	tr|H0Y4M6|H0Y4M6_HUMAN (+1)	36 kDa		0
Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=4 SV=1	tr|E9PAV3|E9PAV3_HUMAN (+5)	205 kDa		0
Probable ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=4 SV=1	tr|F5GZS0|F5GZS0_HUMAN (+1)	113 kDa		5
4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli GN=dapB PE=3 SV=1	tr|E2QEW0|E2QEW0_ECOLX	29 kDa		0
Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens GN=ANP32E PE=4 SV=1	tr|E9PPH5|E9PPH5_HUMAN (+4)	13 kDa	TRUE	0
Transaldolase OS=Homo sapiens GN=TALDO1 PE=3 SV=1	tr|F2Z393|F2Z393_HUMAN (+1)	35 kDa		2
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=2 SV=1	tr|B4DPX4|B4DPX4_HUMAN (+1)	35 kDa		4
Ras GTPase-activating-like protein IQGAP1 (Fragment) OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YKA5|H0YKA5_HUMAN	5 kDa		15
Kinectin OS=Homo sapiens GN=KTN1 PE=4 SV=1	REVtr|G3V4Y7|G3V4Y7_HUMAN (+4)	69 kDa		2
Nebulin OS=Homo sapiens GN=NEB PE=4 SV=1	tr|F8WCL5|F8WCL5_HUMAN (+2)	987 kDa		0
ATP-binding component of serine protease OS=Escherichia coli GN=clpA PE=3 SV=1	tr|C3TGN7|C3TGN7_ECOLX	84 kDa	TRUE	7
Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=2 SV=1	tr|B4DLC0|B4DLC0_HUMAN (+12)	32 kDa		8
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=4 SV=1	tr|E7EWI9|E7EWI9_HUMAN	34 kDa		10
50S ribosomal protein L4 OS=Escherichia coli GN=rplD PE=3 SV=1	tr|C3SQU7|C3SQU7_ECOLX	22 kDa		7
Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=4 SV=1	tr|F5H223|F5H223_HUMAN (+1)	42 kDa		8
Annexin OS=Homo sapiens GN=ANXA6 PE=3 SV=1	tr|E9PGK1|E9PGK1_HUMAN (+11)	72 kDa		2
Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=4 SV=1	tr|F8WE04|F8WE04_HUMAN	20 kDa		0
Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens GN=G6PD PE=3 SV=1	tr|E7EM57|E7EM57_HUMAN (+2)	37 kDa		0
Coiled-coil domain-containing protein 88B OS=Homo sapiens GN=CCDC88B PE=1 SV=1	sp|A6NC98|CC88B_HUMAN (+5)	165 kDa		2
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=4 SV=1	tr|D6RD18|D6RD18_HUMAN (+2)	30 kDa		12
Polyribonucleotide nucleotidyltransferase OS=Escherichia coli GN=pnp PE=3 SV=1	tr|E2QEJ9|E2QEJ9_ECOLX	77 kDa	TRUE	3
Tyrosine-protein kinase Fes/Fps OS=Homo sapiens GN=FES PE=3 SV=1	tr|E7ENM8|E7ENM8_HUMAN	77 kDa		3
Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=4 SV=1	tr|E9PAU2|E9PAU2_HUMAN	80 kDa		6
Uncharacterized protein OS=Homo sapiens PE=4 SV=1	tr|F8W810|F8W810_HUMAN	51 kDa		3
26S protease regulatory subunit 10B (Fragment) OS=Homo sapiens GN=PSMC6 PE=4 SV=1	tr|H0YJC0|H0YJC0_HUMAN	30 kDa		2
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=4 SV=1	tr|E7ENZ3|E7ENZ3_HUMAN (+3)	54 kDa		0
Formate acetyltransferase 1 OS=Escherichia coli GN=pflB PE=3 SV=1	tr|E2QJB4|E2QJB4_ECOLX (+2)	85 kDa		4
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=4 SV=1	tr|F5H3X9|F5H3X9_HUMAN (+1)	59 kDa	TRUE	0
Septin-11 OS=Homo sapiens GN=SEPT11 PE=3 SV=1	tr|D6RER5|D6RER5_HUMAN (+11)	50 kDa	TRUE	17
Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH77|B1AH77_HUMAN (+2)	17 kDa		0
Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=4 SV=1	tr|D6RG15|D6RG15_HUMAN	29 kDa		7
"Archain 1, isoform CRA_a OS=Homo sapiens GN=ARCN1 PE=4 SV=1"	tr|B0YIW6|B0YIW6_HUMAN (+2)	62 kDa		0
ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=4 SV=1	tr|D6R9I9|D6R9I9_HUMAN (+2)	47 kDa		0
Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=4 SV=1	REVtr|E7EP74|E7EP74_HUMAN (+4)	377 kDa		0
Remodeling and spacing factor 1 (Fragment) OS=Homo sapiens GN=RSF1 PE=4 SV=1	REVtr|H0YCN2|H0YCN2_HUMAN (+1)	91 kDa		0
Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=4 SV=1	tr|F6QR24|F6QR24_HUMAN	157 kDa		3
AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=4 SV=1	tr|E5RJ68|E5RJ68_HUMAN	116 kDa		0
"V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens GN=ATP6V1B2 PE=4 SV=1"	tr|H0YC04|H0YC04_HUMAN	21 kDa		0
COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=4 SV=1	tr|D6RAX7|D6RAX7_HUMAN (+4)	48 kDa		4
Chaperone protein DnaK OS=Escherichia coli GN=dnaK PE=3 SV=1	tr|C3TRK2|C3TRK2_ECOLX	69 kDa	TRUE	12
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP7 PE=2 SV=1	tr|B7Z815|B7Z815_HUMAN (+5)	126 kDa		6
Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=4 SV=1	tr|F8VV40|F8VV40_HUMAN	67 kDa		0
Coatomer subunit beta (Fragment) OS=Homo sapiens GN=COPB1 PE=4 SV=1	tr|E9PP73|E9PP73_HUMAN	56 kDa	TRUE	3
50S ribosomal protein L13 OS=Escherichia coli GN=rplM PE=3 SV=1	tr|C3SRX7|C3SRX7_ECOLX	16 kDa	TRUE	3
Beta-parvin OS=Homo sapiens GN=PARVB PE=4 SV=1	tr|B0QYM8|B0QYM8_HUMAN	38 kDa		10
ATP synthase subunit alpha OS=Escherichia coli GN=atpA PE=3 SV=1	tr|C3SL97|C3SL97_ECOLX	55 kDa		0
LIM and senescent cell antigen-like-containing domain protein 2 OS=Homo sapiens GN=LIMS2 PE=4 SV=1	tr|F5H6E6|F5H6E6_HUMAN (+1)	41 kDa		6
Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=2 SV=1	tr|B4DU58|B4DU58_HUMAN (+2)	36 kDa		2
Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=4 SV=1	tr|A8MV37|A8MV37_HUMAN (+3)	34 kDa		6
50S ribosomal protein L2 OS=Escherichia coli GN=rplB PE=3 SV=1	tr|C3SQV7|C3SQV7_ECOLX	30 kDa		7
Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=4 SV=1	tr|E9PEM5|E9PEM5_HUMAN (+4)	287 kDa		0
Elongation factor G OS=Escherichia coli GN=fusA PE=3 SV=1	tr|C3SQS7|C3SQS7_ECOLX	78 kDa		8
ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli GN=hflB PE=3 SV=1	tr|C3SSK2|C3SSK2_ECOLX	71 kDa		5
ATP-binding component of transport system for maltose OS=Escherichia coli GN=malK PE=4 SV=1	tr|C3SHQ2|C3SHQ2_ECOLX	41 kDa	TRUE	6
Septin-2 OS=Homo sapiens GN=SEPT2 PE=3 SV=1	tr|B5MCX3|B5MCX3_HUMAN (+1)	37 kDa		6
Glycerol kinase OS=Escherichia coli GN=glpK PE=3 SV=1	tr|E2QIV3|E2QIV3_ECOLX	56 kDa	TRUE	6
Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=3 SV=1	tr|B1ALC0|B1ALC0_HUMAN	15 kDa	TRUE	0
Zyxin (Fragment) OS=Homo sapiens GN=ZYX PE=4 SV=1	tr|H0Y2Y8|H0Y2Y8_HUMAN (+1)	58 kDa		4
Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=4 SV=1	tr|F5H2M7|F5H2M7_HUMAN (+3)	305 kDa		0
"Albumin, isoform CRA_k OS=Homo sapiens GN=ALB PE=4 SV=1"	tr|C9JKR2|C9JKR2_HUMAN (+3)	47 kDa		2
"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=4 SV=1"	tr|E7EU13|E7EU13_HUMAN (+3)	135 kDa	TRUE	0
Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens GN=EIF2S1 PE=4 SV=1	tr|G3V4T5|G3V4T5_HUMAN (+1)	31 kDa		6
ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli GN=clpX PE=3 SV=1	tr|C3TLS7|C3TLS7_ECOLX	46 kDa		4
Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=4 SV=1	tr|G3XAD8|G3XAD8_HUMAN (+9)	68 kDa		0
"Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=3 SV=1"	tr|E7ERI3|E7ERI3_HUMAN (+1)	70 kDa		2
Bifunctional protein HldE OS=Escherichia coli GN=rfae PE=3 SV=1	tr|E2QE78|E2QE78_ECOLX	51 kDa		9
Cell division protein FtsZ OS=Escherichia coli GN=ftsZ PE=3 SV=1	tr|C3TQK2|C3TQK2_ECOLX	40 kDa		7
HTH-type transcriptional regulator cysB OS=Escherichia coli GN=cysB PE=4 SV=1	tr|C3TC57|C3TC57_ECOLX	36 kDa	TRUE	9
Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=4 SV=1	tr|E9PKG1|E9PKG1_HUMAN (+1)	38 kDa		5
Uncharacterized ABC transporter ATP-binding protein ycjV OS=Escherichia coli GN=ycjV PE=4 SV=1	REVtr|E2QLS7|E2QLS7_ECOLX	40 kDa		2
Drebrin-like protein OS=Homo sapiens GN=DBNL PE=2 SV=1	tr|B4DDD6|B4DDD6_HUMAN (+12)	46 kDa		0
Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6 PE=2 SV=1	tr|B7Z3C7|B7Z3C7_HUMAN (+3)	73 kDa		4
NadH-quinone oxidoreductase subunit G OS=Escherichia coli GN=nuoG PE=4 SV=1	tr|E2QPE4|E2QPE4_ECOLX	100 kDa		3
Zinc finger protein 521 OS=Homo sapiens GN=ZNF521 PE=4 SV=2	tr|H7BYU6|H7BYU6_HUMAN (+2)	140 kDa		2
Striatin-4 OS=Homo sapiens GN=STRN4 PE=4 SV=1	tr|F8VYA6|F8VYA6_HUMAN (+8)	81 kDa	TRUE	7
Lipoyl synthase OS=Escherichia coli GN=lipA PE=3 SV=1	tr|C3TJM2|C3TJM2_ECOLX	36 kDa		4
Protein SET OS=Homo sapiens GN=SET PE=3 SV=1	tr|B2REB8|B2REB8_HUMAN	31 kDa		0
Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=4 SV=1	tr|E7EVA0|E7EVA0_HUMAN (+6)	245 kDa		0
Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=4 SV=1	tr|G8JLG1|G8JLG1_HUMAN (+3)	59 kDa	TRUE	4
"Keratin, type I cytoskeletal 40 OS=Homo sapiens GN=KRT40 PE=4 SV=1"	tr|G3V1C2|G3V1C2_HUMAN	26 kDa	TRUE	0
60S acidic ribosomal protein P0 (Fragment) OS=Homo sapiens GN=RPLP0 PE=3 SV=1	tr|F8VU65|F8VU65_HUMAN (+9)	27 kDa		4
26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=2 SV=1	tr|B7Z5E2|B7Z5E2_HUMAN	33 kDa		3
Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=4 SV=1	tr|F5H4L7|F5H4L7_HUMAN	37 kDa	TRUE	5
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=3 SV=1	tr|F8VUJ7|F8VUJ7_HUMAN (+3)	47 kDa	TRUE	4
Protein-tyrosine kinase 2-beta OS=Homo sapiens GN=PTK2B PE=4 SV=1	tr|E9PBI4|E9PBI4_HUMAN (+4)	68 kDa		0
EF-hand domain-containing protein 1 OS=Homo sapiens GN=EFHC1 PE=4 SV=1	REVtr|F5GZD8|F5GZD8_HUMAN	72 kDa		0
SKI family transcriptional corepressor 1 OS=Homo sapiens GN=SKOR1 PE=4 SV=1	REVtr|G3V3E1|G3V3E1_HUMAN (+2)	96 kDa		0
DnaJ homolog subfamily A member 2 (Fragment) OS=Homo sapiens GN=DNAJA2 PE=4 SV=1	tr|H3BMW5|H3BMW5_HUMAN	15 kDa		4
Dual-specificity RNA methyltransferase RlmN OS=Escherichia coli GN=yfgB PE=3 SV=1	tr|E2QPY3|E2QPY3_ECOLX	43 kDa	TRUE	7
Translation initiation factor IF-2 OS=Escherichia coli GN=infB PE=3 SV=1	tr|E2QEK3|E2QEK3_ECOLX	97 kDa		6
Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1	tr|B3KSH1|B3KSH1_HUMAN (+3)	39 kDa		0
Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=2 SV=1	tr|B4DXY3|B4DXY3_HUMAN (+7)	58 kDa		0
Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens GN=FKBP5 PE=2 SV=1	tr|B7Z7Z8|B7Z7Z8_HUMAN	32 kDa		0
Histone H2B OS=Homo sapiens GN=HIST2H2BF PE=2 SV=1	tr|B4DR52|B4DR52_HUMAN	18 kDa	TRUE	0
ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=2 SV=1	tr|B7ZB63|B7ZB63_HUMAN (+2)	16 kDa		5
Bridging integrator 2 OS=Homo sapiens GN=BIN2 PE=4 SV=1	tr|F5H0W4|F5H0W4_HUMAN (+1)	59 kDa	TRUE	3
Elongation factor 4 OS=Escherichia coli GN=lepA PE=3 SV=1	tr|E2QQ29|E2QQ29_ECOLX	67 kDa		4
26S protease regulatory subunit 7 (Fragment) OS=Homo sapiens GN=PSMC2 PE=4 SV=1	tr|C9JLS9|C9JLS9_HUMAN	15 kDa		3
Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=3 SV=1	tr|B5MCQ5|B5MCQ5_HUMAN (+2)	53 kDa		3
T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=3 SV=1	tr|F5H5W3|F5H5W3_HUMAN	55 kDa		0
Ras-related protein Rap-1b (Fragment) OS=Homo sapiens GN=RAP1B PE=4 SV=1	tr|E7ESV4|E7ESV4_HUMAN (+4)	18 kDa		3
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens GN=PIP4K2A PE=2 SV=1	tr|B4DGX2|B4DGX2_HUMAN	40 kDa		2
Lysozyme C OS=Homo sapiens GN=LYZ PE=3 SV=1	tr|F8VV32|F8VV32_HUMAN	11 kDa		0
Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=3 SV=1	tr|E7ETU3|E7ETU3_HUMAN	27 kDa	TRUE	4
Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=3 SV=1	tr|F5H8J2|F5H8J2_HUMAN (+1)	51 kDa		0
"Phosphodiesterase 5A, cGMP-specific, isoform CRA_a OS=Homo sapiens GN=PDE5A PE=4 SV=1"	tr|G5E9C5|G5E9C5_HUMAN	94 kDa		0
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=4 SV=1	tr|E7EP32|E7EP32_HUMAN	32 kDa		2
Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=4 SV=1	REVtr|F8VVM9|F8VVM9_HUMAN (+10)	146 kDa		0
Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=4 SV=1	tr|E9PD68|E9PD68_HUMAN	62 kDa		0
"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=3 SV=1"	tr|F5H897|F5H897_HUMAN (+3)	74 kDa		0
CAD protein OS=Homo sapiens GN=CAD PE=3 SV=1	tr|F8VPD4|F8VPD4_HUMAN	236 kDa	TRUE	0
DENN domain-containing protein 4C OS=Homo sapiens GN=DENND4C PE=2 SV=1	tr|B7Z660|B7Z660_HUMAN	110 kDa		4
Annexin OS=Homo sapiens GN=ANXA11 PE=2 SV=1	tr|B4DVE7|B4DVE7_HUMAN (+1)	51 kDa		0
GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=4 SV=1	tr|B1B0M1|B1B0M1_HUMAN	91 kDa		3
2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli GN=sucA PE=4 SV=1	tr|E2QI99|E2QI99_ECOLX (+1)	105 kDa		3
Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=4 SV=1	tr|F5GX11|F5GX11_HUMAN	27 kDa	TRUE	4
Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1	sp|A6NHR9-2|SMHD1_HUMAN (+1)	216 kDa	TRUE	4
Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A PE=3 SV=1	tr|E9PB70|E9PB70_HUMAN	78 kDa		5
Vacuolar protein sorting-associated protein 26B OS=Homo sapiens GN=VPS26B PE=4 SV=1	tr|E9PRT4|E9PRT4_HUMAN	38 kDa		4
30S ribosomal protein S1 OS=Escherichia coli GN=rpsA PE=3 SV=1	tr|C3TGB2|C3TGB2_ECOLX	61 kDa		3
Cytohesin-1 OS=Homo sapiens GN=CYTH1 PE=2 SV=1	tr|B7Z1T4|B7Z1T4_HUMAN (+1)	39 kDa		7
cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens GN=PRKACB PE=4 SV=2	tr|C9JK39|C9JK39_HUMAN (+1)	41 kDa	TRUE	2
5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens GN=PRKAG1 PE=2 SV=1	tr|B4DDT7|B4DDT7_HUMAN (+5)	34 kDa	TRUE	4
Cytosolic purine 5'-nucleotidase OS=Homo sapiens GN=NT5C2 PE=2 SV=1	tr|B7Z382|B7Z382_HUMAN	61 kDa		0
Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=2 SV=1	tr|B4E0Y9|B4E0Y9_HUMAN	49 kDa		2
26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=2 SV=1	tr|B4DT72|B4DT72_HUMAN	41 kDa		0
Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=4 SV=1	tr|E7ERJ7|E7ERJ7_HUMAN (+3)	67 kDa		4
Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1	tr|F5H747|F5H747_HUMAN (+12)	18 kDa		2
Nuclear export mediator factor NEMF (Fragment) OS=Homo sapiens GN=NEMF PE=4 SV=1	tr|G3V5V3|G3V5V3_HUMAN (+4)	114 kDa		2
